gene,T,processing_mean,decay_mean,phase,threshold,n_scenarios,n_valid,n_invalid,n_intron_lead,n_exon_lead,n_small,n_positive_without_tolerance,n_negative_without_tolerance,n_zero_without_tolerance,minimum_offset,maximum_offset,median_offset,fraction_intron_lead,fraction_exon_lead,fraction_small,fraction_positive_without_tolerance,fraction_negative_without_tolerance
Kr,0.01,0.01,3.0,rise,40,3,3,0,3,0,0,3,0,0,0.186619849345008,0.2177755948476424,0.2063758195146456,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.01,3.0,rise,50,3,3,0,3,0,0,3,0,0,0.2173753612729473,0.2246871792703796,0.2220566861503151,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.01,3.0,rise,60,3,3,0,3,0,0,3,0,0,0.2284732264872735,0.2511577593361195,0.2374399133237104,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.01,3.0,fall,40,3,3,0,3,0,0,3,0,0,2.810132869243523,2.9476471543482288,2.8784900779123173,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.01,3.0,fall,50,3,3,0,3,0,0,3,0,0,2.1568461094522045,2.3262507038578994,2.241142689236443,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.01,3.0,fall,60,3,3,0,3,0,0,3,0,0,1.626022796816252,1.8273022609143743,1.7262546078083951,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.01,rise,40,3,3,0,0,0,3,3,0,0,0.0060671387976868,0.0060913404164325,0.0060680409151347,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.03,0.01,rise,50,3,3,0,0,0,3,3,0,0,0.006066085848234,0.0061175341873485,0.0061073267396895,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.03,0.01,rise,60,3,3,0,0,0,3,3,0,0,0.0060593598837622,0.0061668659141017,0.0061203678381972,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.03,0.01,fall,40,3,3,0,0,0,3,3,0,0,0.0062539293662781,0.0062897598948455,0.0062637608973643,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.03,0.01,fall,50,3,3,0,0,0,3,3,0,0,0.0062020577636605,0.0062904916977538,0.006247716581889,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.03,0.01,fall,60,3,3,0,0,0,3,3,0,0,0.006153225145135,0.0062957139853957,0.0062347578972736,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.03,0.03,rise,40,3,3,0,3,0,0,3,0,0,0.0162264252801858,0.0172661172273802,0.0171075541467525,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.03,rise,50,3,3,0,3,0,0,3,0,0,0.0168505110183263,0.0173459964583148,0.0173286154733765,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.03,rise,60,3,3,0,3,0,0,3,0,0,0.0173398468163572,0.0175404244302947,0.0174703513844965,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.03,fall,40,3,3,0,3,0,0,3,0,0,0.0189056632203851,0.0206381431577098,0.0196919466169684,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.03,fall,50,3,3,0,3,0,0,3,0,0,0.0181609013897143,0.0207452383158543,0.0194513484929794,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.03,fall,60,3,3,0,3,0,0,3,0,0,0.0174760190496786,0.0209395629893961,0.0192563509674004,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.1,rise,40,3,3,0,3,0,0,3,0,0,0.0474744309447085,0.0604284643623169,0.0562378183032973,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.1,rise,50,3,3,0,3,0,0,3,0,0,0.0515204719991481,0.0615076120702937,0.0585273217621271,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.1,rise,60,3,3,0,3,0,0,3,0,0,0.0559235736468834,0.0620924968619526,0.0605172139915596,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.1,fall,40,3,3,0,3,0,0,3,0,0,0.0754774483447948,0.0996059164277098,0.0872314692406577,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.1,fall,50,3,3,0,3,0,0,3,0,0,0.0679215649295149,0.0996506778587845,0.0839266288659376,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.1,fall,60,3,3,0,3,0,0,3,0,0,0.0620876135759695,0.1004501396279941,0.0813247663707769,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.3,rise,40,3,3,0,3,0,0,3,0,0,0.0918091026079724,0.1239073460914282,0.1115115292991868,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.3,rise,50,3,3,0,3,0,0,3,0,0,0.1036215448872352,0.1275226522809161,0.1183923171548874,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.3,rise,60,3,3,0,3,0,0,3,0,0,0.1179352227250884,0.1295854911245048,0.1247569044960774,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.3,fall,40,3,3,0,3,0,0,3,0,0,0.2641083033681606,0.3154791857158173,0.2851173975598015,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.3,fall,50,3,3,0,3,0,0,3,0,0,0.2141855617723094,0.2955032415492798,0.2504883305251687,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,0.3,fall,60,3,3,0,3,0,0,3,0,0,0.1764281843727028,0.2833333221966828,0.2276975898769223,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,1.0,rise,40,3,3,0,3,0,0,3,0,0,0.1405527590620886,0.1763945499706453,0.16254556592102,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,1.0,rise,50,3,3,0,3,0,0,3,0,0,0.1638564608856447,0.1821712617725683,0.1747488201088413,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,1.0,rise,60,3,3,0,3,0,0,3,0,0,0.1853366927781095,0.1900625868387984,0.1865015175709057,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,1.0,fall,40,3,3,0,3,0,0,3,0,0,0.933866626200508,1.0256498611146547,0.9784152678074848,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,1.0,fall,50,3,3,0,3,0,0,3,0,0,0.7277530698634249,0.85029343039867,0.7876364400163497,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,1.0,fall,60,3,3,0,3,0,0,3,0,0,0.5624173733853005,0.7156101872354023,0.6376205618019027,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,3.0,rise,40,3,3,0,3,0,0,3,0,0,0.1701764868560218,0.1997449911357413,0.18869920823641,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,3.0,rise,50,3,3,0,3,0,0,3,0,0,0.200205482029691,0.2065470081868677,0.2041056253407431,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,3.0,rise,60,3,3,0,3,0,0,3,0,0,0.2102748204382811,0.2332879449445182,0.2192656462925539,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,3.0,fall,40,3,3,0,3,0,0,3,0,0,2.7908019566192177,2.925404896229158,2.857936356568674,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,3.0,fall,50,3,3,0,3,0,0,3,0,0,2.1384013402256823,2.3037613071191974,2.220870383594033,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.03,3.0,fall,60,3,3,0,3,0,0,3,0,0,1.6084224416134711,1.80443493058348,1.7062113988669314,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,0.01,rise,40,3,3,0,0,0,3,3,0,0,0.0047878852607826,0.0048141007067583,0.0048112277169207,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.1,0.01,rise,50,3,3,0,0,0,3,3,0,0,0.0047848417854909,0.0048369392791042,0.0048184962551673,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.1,0.01,rise,60,3,3,0,0,0,3,3,0,0,0.0047791879863283,0.0048613273869979,0.0048246091256102,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.1,0.01,fall,40,3,3,0,0,0,3,3,0,0,0.0048953876035158,0.0049404306138096,0.0048981392943107,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.1,0.01,fall,50,3,3,0,0,0,3,3,0,0,0.0048887331985851,0.0049046126159983,0.0048921679219769,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.1,0.01,fall,60,3,3,0,0,0,3,3,0,0,0.0048788522297829,0.0048903944359153,0.0048814103873736,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.1,0.03,rise,40,3,3,0,0,0,3,3,0,0,0.0097441142510563,0.0099249455478196,0.009824140242701,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.1,0.03,rise,50,3,3,0,2,0,1,3,0,0,0.0098244289789585,0.0100855166884926,0.0100482230083731,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0
Kr,0.01,0.1,0.03,rise,60,3,3,0,2,0,1,3,0,0,0.0097902690833179,0.0104590283463469,0.0101519933262723,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0
Kr,0.01,0.1,0.03,fall,40,3,3,0,3,0,0,3,0,0,0.0114655842929537,0.0117431102789504,0.0115597901743296,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,0.03,fall,50,3,3,0,3,0,0,3,0,0,0.0111340963635215,0.0115117505565331,0.0112951638785593,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,0.03,fall,60,3,3,0,3,0,0,3,0,0,0.0107025611721532,0.0114923835609374,0.0111649846301584,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,0.1,rise,40,3,3,0,3,0,0,3,0,0,0.0308591813734872,0.0365379709252894,0.0347957253039379,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,0.1,rise,50,3,3,0,3,0,0,3,0,0,0.0339325903035851,0.0371175639526732,0.0363583436037791,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,0.1,rise,60,3,3,0,3,0,0,3,0,0,0.0373192392597212,0.0377551881703479,0.0375987981552822,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,0.1,fall,40,3,3,0,3,0,0,3,0,0,0.0590578388370108,0.065299173670059,0.0601125477075523,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,0.1,fall,50,3,3,0,3,0,0,3,0,0,0.05032081168977,0.0641035146098422,0.0568633058447025,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,0.1,fall,60,3,3,0,3,0,0,3,0,0,0.0443943304915781,0.0634035478472756,0.0544553745440957,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,0.3,rise,40,3,3,0,3,0,0,3,0,0,0.066313495173137,0.0853823437577064,0.077734771585311,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,0.3,rise,50,3,3,0,3,0,0,3,0,0,0.0765199313102259,0.0880369956449341,0.0831912199443389,1.0,0.0,0.0,1.0,0.0
