gene,T,decay_mean,phase,threshold,n_scenarios,n_valid,n_invalid,n_intron_lead,n_exon_lead,n_small,n_positive_without_tolerance,n_negative_without_tolerance,n_zero_without_tolerance,minimum_offset,maximum_offset,median_offset,fraction_intron_lead,fraction_exon_lead,fraction_small,fraction_positive_without_tolerance,fraction_negative_without_tolerance
Kr,0.01,3.0,rise,50,18,18,0,18,0,0,18,0,0,0.0185207158361853,0.2246871792703796,0.1347515869775453,1.0,0.0,0.0,1.0,0.0
Kr,0.01,3.0,rise,60,18,18,0,18,0,0,18,0,0,0.0189483864354272,0.2511577593361195,0.1464686494638751,1.0,0.0,0.0,1.0,0.0
Kr,0.01,3.0,fall,40,18,18,0,18,0,0,18,0,0,2.6630977616662723,3.007892356304639,2.8004952998485746,1.0,0.0,0.0,1.0,0.0
Kr,0.01,3.0,fall,50,18,18,0,18,0,0,18,0,0,2.060470313466438,2.647589353479355,2.2198626816907323,1.0,0.0,0.0,1.0,0.0
Kr,0.01,3.0,fall,60,18,18,0,18,0,0,18,0,0,1.567528058103335,2.291562887246512,1.7243553051502467,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.01,rise,40,18,18,0,18,0,0,18,0,0,0.0118857797451997,0.0129145249229477,0.0122206908954734,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.01,rise,50,18,18,0,18,0,0,18,0,0,0.0118675839676808,0.0129948665127695,0.012224234123834249,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.01,rise,60,18,18,0,18,0,0,18,0,0,0.0118394925798014,0.0130965032098916,0.01222753026179035,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.01,fall,40,18,18,0,18,0,0,18,0,0,0.012228707485231,0.0133647438509491,0.0124685504388586,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.01,fall,50,18,18,0,18,0,0,18,0,0,0.0122068513350279,0.0133741965277839,0.01246863104658755,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.01,fall,60,18,18,0,18,0,0,18,0,0,0.0121485145827326,0.0133949129192644,0.012468906372547248,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.03,rise,40,18,18,0,18,0,0,18,0,0,0.0124601515161986,0.0298335373984779,0.0156654077512287,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.03,rise,50,18,18,0,18,0,0,18,0,0,0.012466450188631,0.0299250640371443,0.01575947472628315,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.03,rise,60,18,18,0,18,0,0,18,0,0,0.0124700811012306,0.0301623376992044,0.015795416432614798,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.03,fall,40,18,18,0,18,0,0,18,0,0,0.0128800837933122,0.0345807521131086,0.017115996268735,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.03,fall,50,18,18,0,18,0,0,18,0,0,0.0128800665779462,0.0348248747306652,0.0169838950035104,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.03,fall,60,18,18,0,18,0,0,18,0,0,0.0128800679903426,0.0352058540590471,0.0167398794419078,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.1,rise,40,18,18,0,18,0,0,18,0,0,0.0140378708771091,0.0796028600241405,0.032505882829836796,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.1,rise,50,18,18,0,18,0,0,18,0,0,0.0140628793183259,0.0807788901304681,0.035094150801954105,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.1,rise,60,18,18,0,18,0,0,18,0,0,0.0140688034719218,0.0814353716042611,0.037769812014234946,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.1,fall,40,18,18,0,18,0,0,18,0,0,0.0197418359583996,0.121682455016019,0.05849780619249299,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.1,fall,50,18,18,0,18,0,0,18,0,0,0.0197417988860162,0.122011480004442,0.0527236000000979,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.1,fall,60,18,18,0,18,0,0,18,0,0,0.0197417999675386,0.1232006811498219,0.0479046719611753,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.3,rise,40,18,18,0,18,0,0,18,0,0,0.0183031437407829,0.1463657489925761,0.06361240564739934,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.3,rise,50,18,18,0,18,0,0,18,0,0,0.018483417478613,0.1500964124511716,0.07189559585142316,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.3,rise,60,18,18,0,18,0,0,18,0,0,0.0185693280282787,0.1522318391833668,0.08168115662516955,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.3,fall,40,18,18,0,18,0,0,18,0,0,0.1109815846985631,0.341602416983672,0.23300390272038668,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.3,fall,50,18,18,0,18,0,0,18,0,0,0.1108724418921673,0.3219704685116632,0.19461176240027214,1.0,0.0,0.0,1.0,0.0
Kr,0.03,0.3,fall,60,18,18,0,18,0,0,18,0,0,0.1103470616816761,0.3102246131251481,0.1645252365148088,1.0,0.0,0.0,1.0,0.0
Kr,0.03,1.0,rise,40,18,18,0,18,0,0,18,0,0,0.02343433356443,0.2002452081665292,0.09929994357181016,1.0,0.0,0.0,1.0,0.0
Kr,0.03,1.0,rise,50,18,18,0,18,0,0,18,0,0,0.0239210409738253,0.2061371674721873,0.1169242720410871,1.0,0.0,0.0,1.0,0.0
Kr,0.03,1.0,rise,60,18,18,0,18,0,0,18,0,0,0.0242153387618747,0.2137337247423203,0.12894779433414794,1.0,0.0,0.0,1.0,0.0
Kr,0.03,1.0,fall,40,18,18,0,18,0,0,18,0,0,0.8036779025478311,1.053736216459088,0.8906700227419686,1.0,0.0,0.0,1.0,0.0
Kr,0.03,1.0,fall,50,18,18,0,18,0,0,18,0,0,0.6889621645332555,0.8786275407262963,0.7574063512054482,1.0,0.0,0.0,1.0,0.0
Kr,0.03,1.0,fall,60,18,18,0,18,0,0,18,0,0,0.5374325368700363,0.7676934690830568,0.6438165707244898,1.0,0.0,0.0,1.0,0.0
Kr,0.03,3.0,rise,40,18,18,0,18,0,0,18,0,0,0.0260254341806529,0.2240537212560105,0.1218062462339626,1.0,0.0,0.0,1.0,0.0
