phase,threshold,n_scenarios,n_valid,n_invalid,n_intron_lead,n_exon_lead,n_small,n_positive_without_tolerance,n_negative_without_tolerance,n_zero_without_tolerance,minimum_offset,maximum_offset,median_offset,fraction_intron_lead,fraction_exon_lead,fraction_small,fraction_positive_without_tolerance,fraction_negative_without_tolerance
rise,40,1944,1944,0,1473,259,212,1610,334,0,-0.937767836237118,1.4463819472396977,0.0733913827815629,0.7577160493827161,0.1332304526748971,0.10905349794238683,0.8281893004115226,0.17181069958847736
rise,50,1944,1944,0,1480,254,210,1618,326,0,-0.9395875714719502,1.43604080050053,0.0767288683761238,0.7613168724279835,0.13065843621399176,0.10802469135802469,0.8323045267489712,0.16769547325102882
rise,60,1944,1944,0,1545,190,209,1680,264,0,-0.92619420717296,1.4576795068332713,0.08986627104496316,0.7947530864197531,0.09773662551440329,0.10751028806584362,0.8641975308641975,0.13580246913580246
fall,40,1944,1944,0,1785,2,157,1917,27,0,-0.0170005194273334,4.197680799662498,0.3455155980553874,0.9182098765432098,0.00102880658436214,0.08076131687242798,0.9861111111111112,0.013888888888888888
fall,50,1944,1944,0,1784,2,158,1914,30,0,-0.0181837403588964,3.582327313559148,0.3374673432288099,0.9176954732510288,0.00102880658436214,0.08127572016460906,0.9845679012345679,0.015432098765432098
fall,60,1944,1944,0,1780,4,160,1912,32,0,-0.0189284481595515,3.0866357495676584,0.3368943882260179,0.9156378600823045,0.00205761316872428,0.0823045267489712,0.9835390946502057,0.01646090534979424
