phase,threshold,n_scenarios,n_valid,n_invalid,n_intron_lead,n_exon_lead,n_small,n_positive_without_tolerance,n_negative_without_tolerance,n_zero_without_tolerance,minimum_offset,maximum_offset,median_offset,fraction_intron_lead,fraction_exon_lead,fraction_small,fraction_positive_without_tolerance,fraction_negative_without_tolerance
rise,40,108,108,0,69,0,39,108,0,0,3.180160190074943e-05,0.2140471904621725,0.02023819795031915,0.6388888888888888,0.0,0.3611111111111111,1.0,0.0
rise,50,108,108,0,70,0,38,108,0,0,3.184831014957368e-05,0.2209574761629101,0.0209048579949379,0.6481481481481481,0.0,0.35185185185185186,1.0,0.0
rise,60,108,108,0,70,0,38,108,0,0,3.1861950858913524e-05,0.2474227787898928,0.022618385849612753,0.6481481481481481,0.0,0.35185185185185186,1.0,0.0
fall,40,108,108,0,76,0,32,108,0,0,3.701652342114059e-05,3.0043500782133936,0.1055262577763908,0.7037037037037037,0.0,0.2962962962962963,1.0,0.0
fall,50,108,108,0,76,0,32,108,0,0,3.700949901652706e-05,2.6440366412899428,0.10560107289756154,0.7037037037037037,0.0,0.2962962962962963,1.0,0.0
fall,60,108,108,0,76,0,32,108,0,0,3.700906317627428e-05,2.287996758115804,0.1050399238848809,0.7037037037037037,0.0,0.2962962962962963,1.0,0.0
