gene,stage,stage_index,specimen_label,exon,intron,complete_pair
MLPT,1.3,3,2,42.0,29.0,True
MLPT,1.3,3,3,32.0,24.0,True
MLPT,1.3,3,4,34.0,23.0,True
MLPT,1.3,3,5,21.0,15.0,True
MLPT,2.1,4,1,77.0,74.0,True
MLPT,2.1,4,2,12.0,16.0,True
MLPT,2.1,4,3,31.0,23.0,True
MLPT,2.1,4,4,51.0,33.0,True
MLPT,2.1,4,5,21.0,16.0,True
MLPT,2.2,5,1,84.0,54.0,True
MLPT,2.2,5,2,104.0,64.0,True
MLPT,2.2,5,3,76.0,117.0,True
MLPT,2.2,5,4,179.0,67.0,True
MLPT,2.2,5,5,347.0,125.0,True
MLPT,2.3,6,1,84.0,51.0,True
MLPT,2.3,6,2,509.0,185.0,True
MLPT,2.3,6,3,266.0,171.0,True
MLPT,2.3,6,4,588.0,228.0,True
MLPT,2.3,6,5,522.0,270.0,True
MLPT,3.1,7,1,662.0,273.0,True
MLPT,3.1,7,2,524.0,313.0,True
MLPT,3.1,7,3,630.0,259.0,True
MLPT,3.1,7,4,449.0,287.0,True
MLPT,3.1,7,5,662.0,255.0,True
MLPT,3.2,8,1,1010.0,397.0,True
MLPT,3.2,8,2,930.0,384.0,True
MLPT,3.2,8,3,940.0,375.0,True
MLPT,3.2,8,4,807.0,442.0,True
MLPT,3.2,8,5,758.0,432.0,True
MLPT,3.3,9,1,1022.0,480.0,True
MLPT,3.3,9,2,999.0,437.0,True
MLPT,3.3,9,3,914.0,401.0,True
MLPT,3.3,9,4,754.0,317.0,True
MLPT,3.3,9,5,804.0,294.0,True
MLPT,4.1,10,1,665.0,232.0,True
MLPT,4.1,10,2,651.0,246.0,True
MLPT,4.1,10,3,551.0,130.0,True
MLPT,4.1,10,4,534.0,90.0,True
MLPT,4.1,10,5,532.0,135.0,True
MLPT,4.2,11,1,222.0,160.0,True
MLPT,4.2,11,2,512.0,47.0,True
MLPT,4.2,11,3,385.0,110.0,True
MLPT,4.2,11,4,371.0,165.0,True
MLPT,4.2,11,5,365.0,103.0,True
MLPT,4.3,12,1,350.0,45.0,True
MLPT,4.3,12,2,211.0,101.0,True
MLPT,4.3,12,3,220.0,63.0,True
MLPT,4.3,12,4,217.0,33.0,True
MLPT,4.3,12,5,205.0,27.0,True
MLPT,5.1,13,1,36.0,30.0,True
MLPT,5.1,13,2,9.0,21.0,True
MLPT,5.1,13,3,45.0,9.0,True
MLPT,5.1,13,4,54.0,59.0,True
MLPT,5.1,13,5,40.0,16.0,True
MLPT,5.2,14,1,90.0,52.0,True
MLPT,5.2,14,2,110.0,38.0,True
MLPT,5.2,14,3,49.0,24.0,True
MLPT,5.2,14,4,76.0,59.0,True
MLPT,5.2,14,5,31.0,65.0,True
MLPT,5.3,15,1,74.0,83.0,True
MLPT,5.3,15,2,106.0,39.0,True
MLPT,5.3,15,3,93.0,89.0,True
MLPT,5.3,15,4,66.0,31.0,True
MLPT,5.3,15,5,108.0,38.0,True
MLPT,6.1,16,1,168.0,94.0,True
MLPT,6.1,16,2,131.0,63.0,True
MLPT,6.1,16,3,133.0,87.0,True
MLPT,6.1,16,4,116.0,71.0,True
MLPT,6.1,16,5,143.0,88.0,True
MLPT,6.2,17,1,157.0,133.0,True
MLPT,6.2,17,2,345.0,199.0,True
MLPT,6.2,17,3,305.0,157.0,True
MLPT,6.2,17,4,296.0,187.0,True
MLPT,6.2,17,5,308.0,192.0,True
MLPT,6.3,18,1,357.0,250.0,True
MLPT,6.3,18,2,370.0,220.0,True
MLPT,6.3,18,3,433.0,268.0,True
MLPT,6.3,18,4,601.0,297.0,True
MLPT,6.3,18,5,375.0,293.0,True
MLPT,7.1,19,1,1258.0,608.0,True
MLPT,7.1,19,2,936.0,455.0,True
MLPT,7.1,19,3,1234.0,482.0,True
MLPT,7.1,19,4,1000.0,489.0,True
MLPT,7.1,19,5,949.0,526.0,True
MLPT,7.2,20,1,1190.0,339.0,True
MLPT,7.2,20,2,1128.0,458.0,True
MLPT,7.2,20,3,1282.0,351.0,True
MLPT,7.2,20,4,1160.0,496.0,True
MLPT,7.2,20,5,1256.0,375.0,True
MLPT,7.3,21,1,246.0,10.0,True
MLPT,7.3,21,2,171.0,17.0,True
MLPT,7.3,21,3,239.0,22.0,True
MLPT,7.3,21,4,266.0,43.0,True
MLPT,7.3,21,5,209.0,54.0,True
MLPT,8.1,22,1,34.0,24.0,True
MLPT,8.1,22,2,21.0,15.0,True
MLPT,8.1,22,3,20.0,23.0,True
MLPT,8.1,22,4,26.0,20.0,True
MLPT,8.1,22,5,,,False
MLPT,8.2,23,1,12.0,13.0,True
MLPT,8.2,23,2,18.0,15.0,True
MLPT,8.2,23,3,22.0,16.0,True
MLPT,8.2,23,4,18.0,6.0,True
MLPT,8.2,23,5,,,False
MLPT,8.3,24,1,8.0,9.0,True
MLPT,8.3,24,2,12.0,11.0,True
MLPT,8.3,24,3,28.0,17.0,True
MLPT,8.3,24,4,22.0,23.0,True
MLPT,8.3,24,5,8.0,7.0,True
SVB,1.1,1,1,21.0,5.0,True
SVB,1.1,1,2,38.0,43.0,True
SVB,1.1,1,3,31.0,34.0,True
SVB,1.1,1,4,75.0,57.0,True
SVB,1.1,1,5,39.0,40.0,True
SVB,1.2,2,1,206.0,125.0,True
SVB,1.2,2,2,181.0,173.0,True
SVB,1.2,2,3,193.0,135.0,True
SVB,1.2,2,4,209.0,54.0,True
SVB,1.2,2,5,218.0,74.0,True
SVB,1.3,3,1,311.0,182.0,True
SVB,1.3,3,2,273.0,153.0,True
SVB,1.3,3,3,233.0,145.0,True
SVB,1.3,3,4,212.0,155.0,True
SVB,1.3,3,5,221.0,138.0,True
SVB,2.1,4,1,274.0,237.0,True
SVB,2.1,4,2,520.0,227.0,True
SVB,2.1,4,3,426.0,224.0,True
SVB,2.1,4,4,396.0,217.0,True
SVB,2.1,4,5,407.0,243.0,True
SVB,2.2,5,1,520.0,378.0,True
SVB,2.2,5,2,836.0,396.0,True
SVB,2.2,5,3,797.0,323.0,True
SVB,2.2,5,4,541.0,317.0,True
SVB,2.2,5,5,547.0,331.0,True
SVB,2.3,6,1,871.0,404.0,True
SVB,2.3,6,2,953.0,420.0,True
SVB,2.3,6,3,707.0,432.0,True
SVB,2.3,6,4,738.0,475.0,True
SVB,2.3,6,5,777.0,442.0,True
SVB,3.1,7,1,967.0,508.0,True
SVB,3.1,7,2,1072.0,493.0,True
SVB,3.1,7,3,1031.0,537.0,True
SVB,3.1,7,4,957.0,522.0,True
SVB,3.1,7,5,,,False
SVB,3.2,8,1,1068.0,520.0,True
SVB,3.2,8,2,1186.0,548.0,True
SVB,3.2,8,3,1157.0,565.0,True
SVB,3.2,8,4,1059.0,594.0,True
SVB,3.2,8,5,1223.0,566.0,True
SVB,3.3,9,1,667.0,207.0,True
SVB,3.3,9,2,663.0,278.0,True
SVB,3.3,9,3,887.0,253.0,True
SVB,3.3,9,4,638.0,231.0,True
SVB,3.3,9,5,925.0,202.0,True
SVB,4.1,10,1,416.0,189.0,True
SVB,4.1,10,2,306.0,175.0,True
SVB,4.1,10,3,273.0,223.0,True
SVB,4.1,10,4,408.0,135.0,True
SVB,4.1,10,5,422.0,126.0,True
