gene,pulse,metric,estimate,lo95,hi95,valid_bootstraps,total_bootstraps
KR,1,rising,0.1757405566201724,-1.0352423599077367,1.1141387734373769,5000,5000
KR,1,falling,0.1718288743325722,0.06432313968412498,0.3614909670201428,5000,5000
KR,1,falling_minus_rising,-0.003911682287600193,-0.9458795738742305,1.3056964842083836,5000,5000
MLPT,1,rising,0.02548800386590333,-0.36588265156468236,0.4968402906841364,5000,5000
MLPT,1,falling,0.7945746213323766,0.4442803654791849,1.2094448406945424,5000,5000
MLPT,1,falling_minus_rising,0.7690866174664732,0.10776138939961197,1.372017132723694,5000,5000
MLPT,2,rising,0.35146678274762166,0.1597360834379696,0.6263501076737569,5000,5000
MLPT,2,falling,0.23196877625061063,0.13478963325387117,0.3489100086056467,5000,5000
MLPT,2,falling_minus_rising,-0.11949800649701103,-0.43903579146061783,0.14236447008156064,5000,5000
SVB,1,rising,0.17444760514241153,-0.17875344540659782,0.6895408386234053,5000,5000
SVB,1,falling,0.5918781672563931,0.38127430241517735,0.7790983505471004,5000,5000
SVB,1,falling_minus_rising,0.41743056211398155,-0.14847053581788408,0.8507130537390214,5000,5000
SVB,2,rising,-0.050223300032476104,-0.7356691943444907,0.9480157348352435,5000,5000
SVB,2,falling,0.6126605306102384,0.06951551715019715,1.5378967934423677,5000,5000
SVB,2,falling_minus_rising,0.6628838306427145,-0.6875690528474697,1.8042133102961488,5000,5000
