gene,pulse,method,level,peak,rising,falling,falling_minus_rising
KR,1,pchip,0.4,pulse,0.3159880167996132,0.2376841761293953,-0.0783038406702179
KR,1,pchip,0.4,whole_series,0.3159880167996132,0.2376841761293953,-0.0783038406702179
KR,1,pchip,0.5,pulse,0.1757405566201724,0.1718288743325722,-0.003911682287600193
KR,1,pchip,0.5,whole_series,0.1757405566201724,0.1718288743325722,-0.003911682287600193
KR,1,pchip,0.6,pulse,0.10749544193679306,0.13346181994351625,0.02596637800672319
KR,1,pchip,0.6,whole_series,0.10749544193679306,0.13346181994351625,0.02596637800672319
KR,1,linear,0.4,pulse,0.26881148689508727,0.2210541007042366,-0.04775738619085068
KR,1,linear,0.4,whole_series,0.26881148689508727,0.2210541007042366,-0.04775738619085068
KR,1,linear,0.5,pulse,0.14166455624074015,0.18421175058686323,0.042547194346123085
KR,1,linear,0.5,whole_series,0.14166455624074015,0.18421175058686323,0.042547194346123085
KR,1,linear,0.6,pulse,0.11070016360805024,0.14736940046948988,0.036669236861439636
KR,1,linear,0.6,whole_series,0.11070016360805024,0.14736940046948988,0.036669236861439636
MLPT,1,pchip,0.4,pulse,-0.0020459739775988695,1.052440107519562,1.0544860814971608
MLPT,1,pchip,0.4,whole_series,0.18248138111172274,0.6557371212892757,0.473255740177553
MLPT,1,pchip,0.5,pulse,0.02548800386590333,0.7945746213323766,0.7690866174664732
MLPT,1,pchip,0.5,whole_series,0.22910725373468388,0.35741499329465576,0.12830773955997188
MLPT,1,pchip,0.6,pulse,0.09149143843302365,0.5553927215283991,0.4639012830953755
MLPT,1,pchip,0.6,whole_series,0.16314596259634762,0.21697227132281505,0.05382630872646743
MLPT,1,linear,0.4,pulse,0.007033298909436603,1.0374473825623571,1.0304140836529205
MLPT,1,linear,0.4,whole_series,0.17698134945728938,0.6569084070257158,0.47992705756842646
MLPT,1,linear,0.5,pulse,0.034194466341531005,0.798003449886922,0.763808983545391
MLPT,1,linear,0.5,whole_series,0.23423277516277707,0.3652056428972479,0.1309728677344708
MLPT,1,linear,0.6,pulse,0.08748170029192881,0.5674085559904132,0.47992685569848437
MLPT,1,linear,0.6,whole_series,0.19803641936984295,0.21205408946284798,0.01401767009300503
MLPT,2,pchip,0.4,pulse,0.6792666867714843,0.2254065076115026,-0.45386017915998167
MLPT,2,pchip,0.4,whole_series,0.6792666867714843,0.2254065076115026,-0.45386017915998167
MLPT,2,pchip,0.5,pulse,0.35146678274762166,0.23196877625061063,-0.11949800649701103
MLPT,2,pchip,0.5,whole_series,0.35146678274762166,0.23196877625061063,-0.11949800649701103
MLPT,2,pchip,0.6,pulse,0.2555678733083404,0.24818360188998412,-0.007384271418356292
MLPT,2,pchip,0.6,whole_series,0.2555678733083404,0.24818360188998412,-0.007384271418356292
MLPT,2,linear,0.4,pulse,0.6761080852662218,0.21885968847835713,-0.45724839678786466
MLPT,2,linear,0.4,whole_series,0.6761080852662218,0.21885968847835713,-0.45724839678786466
MLPT,2,linear,0.5,pulse,0.3165734877855755,0.23052331220856104,-0.08605017557701444
MLPT,2,linear,0.5,whole_series,0.3165734877855755,0.23052331220856104,-0.08605017557701444
MLPT,2,linear,0.6,pulse,0.27443725281198184,0.24218693593876495,-0.03225031687321689
MLPT,2,linear,0.6,whole_series,0.27443725281198184,0.24218693593876495,-0.03225031687321689
SVB,1,pchip,0.4,pulse,0.17766928425748496,0.6388383195792855,0.46116903532180054
SVB,1,pchip,0.4,whole_series,-0.0038093619510961574,0.6475169488143262,0.6513263107654224
SVB,1,pchip,0.5,pulse,0.17444760514241153,0.5918781672563931,0.41743056211398155
SVB,1,pchip,0.5,whole_series,0.009313593562082723,0.5262932933145592,0.5169796997524765
SVB,1,pchip,0.6,pulse,0.2900075631063679,0.4989973214054011,0.2089897582990332
SVB,1,pchip,0.6,whole_series,-0.04003753222832174,0.37653505618433414,0.4165725884126559
SVB,1,linear,0.4,pulse,0.18088719459365699,0.7391325792097785,0.5582453846161215
SVB,1,linear,0.4,whole_series,0.0017831357113982094,0.6876667686320772,0.685883632920679
SVB,1,linear,0.5,pulse,0.1936880626449149,0.6195243786679949,0.42583631602308003
SVB,1,linear,0.5,whole_series,-0.00247649039298814,0.5551921154458679,0.557668605838856
SVB,1,linear,0.6,pulse,0.31290184013467126,0.49991617812621314,0.18701433799154188
SVB,1,linear,0.6,whole_series,-0.06969159517522527,0.4164442715588006,0.48613586673402587
SVB,2,pchip,0.4,pulse,-0.060678403550188165,1.5828112783626018,1.64348968191279
SVB,2,pchip,0.4,whole_series,-0.060678403550188165,1.5828112783626018,1.64348968191279
SVB,2,pchip,0.5,pulse,-0.050223300032476104,0.6126605306102384,0.6628838306427145
SVB,2,pchip,0.5,whole_series,-0.050223300032476104,0.6126605306102384,0.6628838306427145
SVB,2,pchip,0.6,pulse,-0.03687461044761342,0.29166303698261586,0.3285376474302293
SVB,2,pchip,0.6,whole_series,-0.03687461044761342,0.29166303698261586,0.3285376474302293
SVB,2,linear,0.4,pulse,-0.06307489606861161,1.4710291778296458,1.5341040738982574
SVB,2,linear,0.4,whole_series,-0.06307489606861161,1.4710291778296458,1.5341040738982574
SVB,2,linear,0.5,pulse,-0.054933165277761375,0.6532623211829289,0.7081954864606903
SVB,2,linear,0.5,whole_series,-0.054933165277761375,0.6532623211829289,0.7081954864606903
SVB,2,linear,0.6,pulse,-0.037882704651368115,0.3835939066235525,0.42147661127492064
SVB,2,linear,0.6,whole_series,-0.037882704651368115,0.3835939066235525,0.42147661127492064
