Distance_(microns),svbint,krint,svb,mlptint,eve-en,cad,kr,mlpt,gt
0,390.5333333,139.8666667,449.6,177.2,409.3333333,146.8,406.1333333,199.5333333,335.9333333
1,412.0625,149.9375,495.3125,186.375,437.0625,150.5,399.625,208.125,455.9375
2,441.5,163.8333333,546.0555556,194.6111111,455.5,160.4444444,405.2777778,237,624.7777778
3,499.6190476,249.7619048,575.5714286,198.8571429,484.2380952,186.2857143,440.2380952,308.0952381,704
4,605.9565217,412.7391304,583.3913043,199.826087,489.2173913,182.826087,472.3043478,325.0869565,624.7826087
5,651.8846154,455.6538462,550.7307692,189.4615385,490.0384615,171.8076923,483.4230769,319.8846154,434.5
6,627.2142857,355.9642857,536.9285714,190.4285714,506.4642857,174.3928571,496.7857143,286.8928571,352.6428571
7,578.483871,249.8387097,527,193.4516129,522.4516129,174.3870968,494.6451613,250.516129,353.1290323
8,563.4705882,197.1176471,522.9117647,184.3529412,511.8529412,167.4411765,479.6764706,211.5882353,355.5588235
9,555.4324324,179.1891892,538.2432432,177.4594595,493.9459459,161.7837838,468.027027,205.1891892,343.9189189
10,548.625,174.375,545.625,178.025,471.1,160.325,462.1,216.325,354.95
11,566.9090909,181.3409091,553.8181818,178.4090909,457.1590909,163,456.1136364,209.0227273,363.8636364
12,580.4042553,197.9148936,561.1702128,184.5319149,472.5106383,169.4042553,458.1276596,189.1489362,347.0638298
13,569.5918367,208.6734694,556.2857143,191.4285714,484,173.4897959,460.9795918,175.7346939,342.7959184
14,563.5384615,200.6538462,561.5384615,194.4423077,485.4423077,172.7115385,453.9038462,184.5961538,347.4230769
15,584.4545455,182.8,567.2909091,193.9818182,495.8727273,171.6727273,446.5818182,190.9636364,348.9272727
16,581.0689655,173.6896552,573.1896552,184.9482759,496.0862069,168.362069,446.2413793,186.9137931,347.637931
17,574.9166667,174.6333333,592.4666667,178.2833333,496.9666667,163.3333333,444.1833333,189.9666667,343.2666667
18,584.3968254,177.047619,597.7777778,173.7777778,517.1269841,159.8412698,441.4126984,190.2539683,332.1111111
19,580.7538462,178.7538462,582.6307692,173.2923077,548.3230769,158.9230769,448.2153846,184.3846154,325.2
20,567.8382353,178.0882353,570.0735294,174.4705882,565.7794118,161.2794118,458.3088235,194.6176471,332.7058824
21,555.9722222,179.1666667,568.7638889,175.9166667,564.9027778,163.7083333,457.9583333,218.9305556,332.5694444
22,533.0126582,177.9873418,559.4683544,182.2531646,553.721519,165.6708861,454.6329114,255.9746835,317.0253165
23,513.3928571,176.797619,565.75,190.0952381,541.6785714,177.9761905,448.6666667,265.3690476,309.8214286
24,512.6444444,175.2444444,573.3222222,190.9888889,548.9111111,185.2444444,446.5444444,276.8444444,311.2444444
25,524.9368421,174,573.1578947,191.0526316,552.4526316,184.6526316,450.7263158,265.0631579,317.1473684
26,524.3979592,173.0918367,572.744898,190.2653061,552.2857143,187.5,451.2142857,256.5918367,321.1326531
27,515.5757576,175.4646465,562.979798,186.5555556,541.989899,182.8484848,445.3030303,251.979798,318.2727273
28,520.4141414,184.2020202,562.7373737,183.959596,539.4545455,181.6767677,457.6767677,250.5656566,326.4444444
29,522.9215686,188.1568627,567.3431373,180.8039216,528.7352941,178.8039216,474.8921569,256.9215686,332.4117647
30,523.9230769,187.2211538,571.1826923,180.6153846,520.8269231,174.7788462,487.4038462,256.5865385,335.8557692
31,520.411215,183.1401869,567.6448598,181.5327103,523.8878505,168.728972,479.3738318,251.6168224,333.5420561
32,524.0458716,183.412844,569.2844037,181.8256881,530.5688073,164.8073394,474.2385321,248.5963303,342.3853211
33,531.0625,182.2767857,576.8035714,183.1160714,530.8125,164.2589286,472.2946429,267.1607143,367.4910714
34,541.0325203,175.6422764,567.7317073,183.6260163,506.8699187,165.1056911,472.1219512,294.097561,379.7154472
35,588.7536232,174.2101449,569.9275362,185.9130435,498.7101449,166.0072464,476.6449275,313.4275362,375.9130435
36,580.2467532,177.4285714,575.0649351,193.1688312,495.5194805,162.4025974,470.7467532,369.6103896,362.1493506
37,583.1783439,180.1910828,579.3949045,204.7643312,491.9745223,162.1401274,465.2675159,384.7643312,353.866242
38,557.672619,173.6130952,571.1488095,203.0238095,467.7380952,161.1488095,456.1428571,371.0654762,349.2916667
39,539.2840237,167.6627219,575.7692308,194.0769231,454.5739645,164.1893491,452.4733728,352.3550296,346.9467456
40,532.6294118,165.1470588,583.2882353,187.1470588,449.1823529,169.9882353,460.7411765,349.6823529,350.3058824
41,531.2690058,169.3918129,583.4152047,184.5204678,449.6725146,169.3976608,466.8245614,339.7017544,347.7953216
42,533.7058824,181.8352941,589.2823529,184.5941176,458.6588235,163.3882353,467.1176471,326.1,342.1411765
43,536.4642857,190.0892857,600.6547619,186.297619,469.4107143,158.3392857,473.2142857,328.2678571,349.8869048
44,526.5502959,180.2011834,590.183432,184.8047337,468.2485207,152.2011834,467.2721893,327.852071,356.4023669
45,520.797619,172.3095238,579.9761905,183.2797619,462.8392857,149.6904762,473.4285714,307.2797619,361.672619
46,524.6987952,172.1385542,591.8373494,183.6987952,454.3554217,149.5542169,470.5722892,284.0722892,367.7951807
47,536.6144578,172.873494,622.1626506,184.0301205,451.060241,150.4337349,459.5662651,263.686747,377.5180723
48,557.5121951,174.5,645.554878,185.152439,454.7987805,152.347561,463.5304878,247.1890244,383.1402439
49,563.9390244,172.9756098,631.9878049,185.8414634,451.2682927,151.7317073,460.9756098,248.9573171,387.9512195
50,569.7621951,173.8719512,622.8963415,188.1097561,444.1097561,151.652439,465.3414634,261.7439024,388.6646341
51,594.0787879,176.4,624.1454545,189.630303,430.2909091,152.7878788,479.8121212,264.1030303,383.5818182
52,643.8231707,179.6463415,613.945122,191.1036585,419.0121951,152.945122,490.2195122,251.1158537,381.9268293
53,691.9141104,181.0920245,605.6196319,195.5705521,419.398773,152.5092025,496.7484663,232.5153374,373.6196319
54,710.9570552,179.6196319,604.0490798,197.7484663,420.3865031,152.9754601,512.7852761,219.3251534,376.9693252
55,739.4233129,181.5889571,601.0184049,194.6503067,417.5337423,153.7852761,547.2944785,207.9877301,378.3496933
56,749.7515152,186.369697,598.2,192.8727273,417.1454545,153.0666667,573.0727273,210.3151515,371.8181818
57,689.4736842,189.4269006,590.0409357,190.1929825,415.4093567,148.9766082,557.7192982,210.7894737,367.5263158
58,654.7836257,199.1520468,604.2690058,190.0584795,427.005848,150.7309942,531.7134503,225.5438596,391.8596491
59,656.8011696,204.4795322,608.0818713,188.6081871,433.9064327,151.7777778,521.4736842,233.9005848,401.6315789
60,662.877193,203.4327485,607.3625731,186.4093567,433.5204678,148.6491228,546.2163743,215.0233918,409.5730994
61,650.6941176,203.5352941,616.2411765,186.7294118,432.9058824,147.5294118,581.8176471,193.6764706,429.2352941
62,618.8058824,204.8823529,617.4117647,186.2647059,435.0941176,149.1588235,573.2117647,184.0588235,422.8470588
63,602.5443787,206.4852071,619.6686391,187.6153846,441.3491124,151.0473373,545.8579882,188.2307692,431.8816568
64,597.1656805,201.704142,618.9526627,187.4792899,445.8461538,151.887574,530.7337278,188.2307692,423.6390533
65,597.3053892,200.5868263,614.1077844,185.6287425,450.6107784,154.8562874,525.0479042,189.2215569,412.5628743
66,592.3353293,200.251497,602.8802395,181.8143713,447.4550898,157.1736527,520.9461078,191.0479042,403.1137725
67,579.9518072,199.8493976,600.6445783,180.9277108,443.373494,157.5783133,517.3072289,185.9457831,406.253012
68,573.2453988,196.8527607,606.6748466,182.9754601,452.9263804,158.6993865,518.190184,178.7607362,402.3803681
69,560.1851852,193.5,609.7222222,183.2469136,454.2962963,159.345679,514.7037037,177.8765432,403.5987654
70,548.51875,185.83125,609.825,181.76875,460.1375,159.2125,508.19375,181.31875,398.2375
71,537.4025157,179.6855346,602.4968553,179.427673,471.5849057,160.754717,505.0188679,187.327044,382.7169811
72,544.4810127,179.3164557,597.7278481,179.221519,486.9113924,164.6265823,504.4367089,191.5632911,371.5506329
73,552.5031847,176.8152866,594.0127389,177.611465,501.3184713,165.8407643,493.4458599,185.2229299,352.2356688
74,545.751634,175.627451,604.5163399,177.4901961,515.6535948,168.2614379,481.1045752,176.3267974,345.4444444
75,507.3421053,178.7302632,610.5460526,176.5131579,520.9539474,167.5197368,471.2763158,175.3092105,336.5
76,478.4210526,182.2236842,614.4342105,178.7171053,526.8486842,166.1052632,485.5065789,184.875,333.4868421
77,472.9473684,179.8223684,612.3157895,180.1710526,537.0197368,166.9210526,492.5065789,187.8947368,336.2105263
78,485.8940397,179.9735099,613.3509934,180.7086093,549.8940397,171.0397351,495.6225166,181.6556291,349.2980132
79,499,187.5496689,615.4437086,179.1324503,558.4437086,176.1788079,502.1390728,174.8741722,347.2384106
80,530.46,198.7866667,624.7,178.54,562.9266667,180.36,507.6666667,176.5,343.9466667
81,558.0939597,210.0067114,636.5637584,180.3355705,569.2214765,182.2080537,519.6711409,181.2348993,344.9865772
82,539.852349,198.4832215,633.261745,181.5838926,554.6711409,178.557047,527.7718121,177.9597315,350.6040268
83,514.4666667,176.66,626.5,181.7,534.64,175.6533333,517.8066667,170.12,345.9133333
84,528.4066667,167.2266667,627.32,181.7533333,525.3333333,176.9,513.68,164.6133333,339.86
85,565.1315789,166.2847682,636.205298,178.8675497,516.5328947,179.9668874,515.5986842,161.397351,345.6622517
86,620.2105263,165.7171053,646.2236842,173.0263158,518.1447368,178.4605263,517.6578947,158.9473684,348.1513158
87,610.4473684,167.4802632,664.8881579,171.9473684,527.2565789,175.3684211,515.6842105,160.0394737,348.9802632
88,579.6118421,168.8947368,675.4868421,172.9539474,530.0131579,172.4868421,514.3092105,162.5657895,339.2960526
89,566.3006536,165.6601307,674.5424837,172.6666667,523.4117647,170.0980392,517.6666667,163.0196078,334.6666667
90,571.0784314,166.0326797,689.2810458,171.620915,529.0718954,169.2810458,529.4444444,161.3137255,338.4771242
91,596.9342105,170.9210526,695.1776316,173.5592105,542.875,170.3421053,539.1710526,161.4868421,343.2039474
92,614.2987013,186.3376623,689.8636364,174.2077922,547.8961039,173.6753247,536.8441558,162.512987,335.525974
93,610.1948052,206.2597403,687.8766234,175.0064935,550.8246753,176.7662338,547.538961,160.6168831,328.1753247
94,589.5032258,216.3806452,680.0580645,176.0774194,545.7419355,175.5612903,566.1419355,157.0193548,327.5612903
95,567.7179487,218.6987179,677.6217949,176.6730769,540.8269231,171.7884615,571.4294872,155.3269231,329.6987179
96,542.7834395,212.8789809,677.2038217,175.1019108,538.8280255,167.5859873,569.7579618,151.8471338,330.1783439
97,519.4367089,208.2911392,687.6455696,175.556962,543.3670886,166.2911392,574.7974684,146.5822785,329.6898734
98,517.9874214,220.8805031,705.0440252,176.4591195,543.1698113,167.1194969,576.5660377,142.9119497,323.2201258
99,541.85625,208.13125,718.45625,176.6375,528.95625,169.2875,564.3,141.3,312.08125
100,579.845679,187.3641975,725.9876543,175.8395062,511.9814815,173.1296296,559.9506173,138.9938272,303.9444444
101,617.8198758,179.447205,738.8198758,175.9378882,506.9006211,178.6149068,551.9503106,138.8447205,306.2857143
102,634.3416149,175.4720497,748.0559006,176.3850932,514.8944099,182.1490683,547.310559,142.0124224,307.9378882
103,618.5679012,174.7283951,747.6049383,175.5802469,521.1851852,183.4938272,554,144.8518519,309.7469136
104,595.5889571,187.3067485,747.7852761,174.3128834,524.1104294,184.7668712,563.9018405,146.1104294,315.2515337
105,620.1890244,215.6463415,748.9268293,173.2926829,535.0792683,184.0365854,568.304878,145.7865854,311.9329268
106,671.9390244,255.0731707,753.9878049,173.5914634,550.3902439,181.9817073,580.8292683,145.7926829,307.2743902
107,683.4207317,277.6463415,763.0853659,172.097561,555.6463415,181.445122,618.9146341,145.9817073,308.7682927
108,665.7546012,270.809816,777.7055215,171.2944785,563.5092025,181.8404908,668.0429448,147.797546,313.1840491
109,671.0429448,252.0920245,779.1595092,171.6564417,577.7177914,180.993865,681.803681,147.9815951,313.2883436
110,715.0185185,238.9814815,777.7283951,173.5864198,583.3765432,181.117284,667.4074074,141.7530864,312.1851852
111,746.9320988,218.154321,768.8518519,172.9135802,577.0246914,181.6111111,649.6111111,138.1111111,313.3395062
112,772.617284,192.4567901,760.1296296,170.5555556,574.845679,181.2777778,631.9753086,137.617284,310.308642
113,798.4409938,185.9192547,759.8012422,168.7080745,575.1801242,179.9503106,623.173913,136.6149068,311.1180124
114,775.5157233,206.4968553,767.7106918,168.0754717,566.1761006,177.572327,645.754717,136.3647799,318.5408805
115,721.4591195,229.8930818,775.9685535,168.163522,551.8993711,177.6352201,676.2389937,138.081761,317.4842767
116,702.443038,232.0759494,800.8291139,170.9873418,547.3670886,180.1898734,683.0253165,142.2848101,308.3164557
117,660.3757962,220.2738854,812.5732484,170.8471338,545.1783439,178.6050955,680.5350318,140.0955414,302.7261146
118,592.7419355,223.5483871,820.483871,169.9483871,541.4193548,175.683871,679.7096774,139,303.2645161
119,560.7806452,239.5935484,821.0580645,169.5032258,529.8,173.2129032,700.2516129,137.7032258,303.1935484
120,567.4903226,257.3677419,823.0709677,170.5419355,519.9096774,172.0129032,713,135.1548387,301.9354839
121,582.7058824,282.7908497,835.5228758,172.4183007,517.4117647,172.0261438,719.0980392,137.0784314,301.3006536
122,613.5163399,310.9673203,847.7843137,173.5424837,518.2418301,171.7254902,746.1111111,137.9281046,302.8627451
123,658.0519481,336.4480519,852.6428571,173.9155844,521.4155844,167.525974,805.6623377,138.4350649,306.2142857
124,684.0130719,356.6862745,858.5359477,175,521.9084967,164.9019608,882.2352941,141.4117647,307.7712418
125,684.7647059,360.0261438,854.4575163,174.0457516,512.3137255,167.0326797,928.2875817,140.7647059,309.9673203
126,675.3116883,343.7272727,860.1233766,174.9155844,506.1428571,168.7012987,940.461039,137.8246753,304.9025974
127,665.487013,318.6623377,872.4805195,176.7662338,498.4025974,165.0649351,937.8051948,136.4805195,302.7012987
128,672.3311688,295.6753247,886.4675325,179.2792208,498.2467532,161.7987013,905.6883117,136.6818182,304.2987013
129,697.3986928,282.1633987,888.1633987,180,495.6732026,161.6862745,879.3137255,135.124183,303.3856209
130,736.496732,294.9803922,879.3006536,180.4379085,500.8954248,162.3137255,899.7712418,134.5098039,305.9738562
131,750.4350649,330.3506494,849.8311688,179.5909091,503.4090909,159.5584416,938.1103896,135.7012987,311.5519481
132,726.1038961,352.0584416,832.3766234,178.3051948,501.5779221,158,973.8831169,133.5974026,330.6493506
133,703.5882353,353.6339869,836.8366013,177.2222222,498.8300654,158.6535948,986.751634,132.8496732,323.7320261
134,691.6233766,373.0974026,845.961039,174.8701299,503.3116883,157.8571429,956.3961039,133.0584416,307.5064935
135,713.1568627,428.1699346,856.9738562,175.3529412,522.5686275,159.1960784,992.6732026,138.2941176,306.8888889
136,750.2516129,462.5806452,844.7483871,174.9677419,528.0129032,159.3419355,1087.458065,147.4129032,295.2967742
137,784.961039,462.2402597,849,177.1363636,533.2012987,162.4090909,1155.506494,154.7662338,299.6298701
138,760.6153846,414.6217949,852.2051282,174.8205128,515.8525641,161.4551282,1108.326923,146.4322581,298.9038462
139,723.0320513,361.1217949,874.8076923,174.6153846,507.3846154,162.7179487,1060.814103,138.3653846,306.1602564
140,682.2038217,309.8216561,882.0955414,175.1019108,502.0191083,160.8152866,1015.598726,135.2484076,315.9617834
141,698.6025641,298.4487179,885.5512821,178.7032258,509.3525641,157.8589744,1008.551282,134.2051282,315.6774194
142,752.0512821,332.5448718,881.0705128,178.4230769,514.7564103,157.025641,1011.551282,135.2307692,306.3782051
143,799.2387097,366.6709677,880.1419355,180.0967742,512.0774194,157.0129032,1045.116129,138.4516129,302.4451613
144,799.9166667,358.6474359,866.7115385,179.7307692,502.6089744,156.1858974,1035.935897,135.3525641,297.4102564
145,771.5806452,383.4322581,849.7870968,179.3741935,499.0322581,156.3354839,1036.03871,134.8064516,294.1612903
146,736,462.0064103,835.2692308,179.1282051,494.3269231,153.2948718,1075.641026,135.1025641,303.0576923
147,700.4649682,561.6369427,834.6878981,181.25,488.0318471,151.6025641,1146.936306,136.1346154,296.7070064
