Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,397.55555555555554,161.25925925925927,200.44444444444446,331.25925925925924,94.33333333333333,332.85185185185185,193.92592592592592,107.85185185185185,154.07407407407408,701.4074074074074
1,362.9032258064516,155.96774193548387,195.8709677419355,295.64516129032256,98.03225806451613,334.06451612903226,198.25806451612902,109.51612903225806,165.67741935483872,697.6129032258065
2,310.8235294117647,162.14705882352942,208.0,285.97058823529414,99.26470588235294,327.52941176470586,197.52941176470588,110.82352941176471,145.7058823529412,677.2941176470588
3,259.5945945945946,151.0810810810811,210.0,283.05405405405406,99.72972972972973,325.9189189189189,197.2972972972973,109.45945945945945,143.16216216216216,681.4324324324324
4,233.89743589743588,143.46153846153845,208.4102564102564,271.1794871794872,100.17948717948718,328.61538461538464,196.46153846153845,108.05128205128206,146.69230769230768,695.4615384615385
5,237.07142857142858,141.57142857142858,205.02380952380952,273.04761904761904,97.73809523809524,321.92857142857144,193.04761904761904,102.95238095238095,147.47619047619048,715.7619047619048
6,253.9090909090909,146.6818181818182,202.6818181818182,268.54545454545456,98.04545454545455,314.09090909090907,188.5909090909091,101.6590909090909,149.5,692.1136363636364
7,244.7173913043478,148.58695652173913,206.04347826086956,249.19565217391303,96.69565217391305,313.6521739130435,184.65217391304347,102.69565217391305,147.56521739130434,676.9565217391304
8,215.05882352941177,156.15686274509804,210.35294117647058,252.49019607843138,96.13725490196079,319.4117647058824,186.2156862745098,100.25490196078431,150.84313725490196,682.8627450980392
9,207.01785714285714,156.26785714285714,219.23214285714286,263.55357142857144,96.51785714285714,318.85714285714283,188.57142857142858,100.83928571428571,152.91071428571428,682.9107142857143
10,217.59677419354838,148.7258064516129,223.91935483870967,272.06451612903226,98.70967741935483,322.01612903225805,190.7258064516129,102.0,151.96774193548387,683.7258064516129
11,228.64705882352942,130.27941176470588,223.77941176470588,275.02941176470586,100.02941176470588,323.6617647058824,193.64705882352942,102.42647058823529,154.0735294117647,684.8970588235294
12,230.5,123.66666666666667,222.81944444444446,286.7916666666667,100.16666666666667,324.06944444444446,193.09722222222223,101.98611111111111,157.30555555555554,714.7777777777778
13,223.35064935064935,125.48051948051948,234.9090909090909,297.83116883116884,99.64935064935065,323.7142857142857,189.44155844155844,103.0,158.75324675324674,753.012987012987
14,225.39506172839506,119.64197530864197,237.93827160493828,287.2962962962963,99.30864197530865,326.04938271604937,187.40740740740742,104.65432098765432,159.02469135802468,756.8888888888889
15,221.95294117647057,116.52941176470588,234.2,269.6941176470588,100.61176470588235,321.61176470588236,186.94117647058823,105.45882352941176,159.7764705882353,738.964705882353
16,219.45555555555555,115.36666666666666,234.0888888888889,266.68888888888887,102.24444444444444,320.9,185.5222222222222,106.38888888888889,164.86666666666667,731.8333333333334
17,220.08510638297872,120.56382978723404,239.96808510638297,276.8829787234043,102.87234042553192,321.97872340425533,183.95744680851064,108.31914893617021,168.40425531914894,742.8085106382979
18,217.70408163265307,120.04081632653062,238.9591836734694,296.6020408163265,102.72448979591837,322.2959183673469,185.31632653061226,109.36734693877551,177.05102040816325,730.4591836734694
19,205.3921568627451,118.40196078431373,243.34313725490196,300.9901960784314,103.20588235294117,312.46078431372547,187.83333333333334,109.01960784313725,179.44117647058823,710.0980392156863
20,217.74074074074073,118.17592592592592,248.7037037037037,299.6759259259259,104.00925925925925,305.99074074074076,190.44444444444446,109.41666666666667,186.3148148148148,698.3796296296297
21,231.859649122807,118.64912280701755,247.19298245614036,300.9561403508772,104.53508771929825,304.12280701754383,193.35087719298247,110.6842105263158,193.33333333333334,699.578947368421
22,241.35833333333332,131.14166666666668,244.20833333333334,309.51666666666665,104.65,304.2083333333333,193.86666666666667,112.29166666666667,199.78333333333333,709.9583333333334
23,237.251968503937,147.0551181102362,244.74015748031496,321.33858267716533,104.74803149606299,305.503937007874,192.8740157480315,113.65354330708661,193.06299212598427,702.9448818897638
24,243.13636363636363,148.2651515151515,242.8030303030303,332.5833333333333,104.18939393939394,306.99242424242425,191.4090909090909,111.02272727272727,191.25,711.0151515151515
25,234.92142857142858,149.82857142857142,237.81428571428572,357.04285714285714,103.77142857142857,305.92857142857144,191.45,111.92857142857143,198.06428571428572,714.9071428571428
26,218.54166666666666,144.10416666666666,239.52777777777777,368.86805555555554,104.75694444444444,302.4513888888889,193.13194444444446,112.30555555555556,211.0625,721.5416666666666
27,224.82,133.22,241.23333333333332,377.3333333333333,105.37333333333333,297.9866666666667,194.37333333333333,112.32,221.51333333333332,734.8933333333333
28,236.96129032258065,140.21290322580646,242.79354838709676,391.18709677419355,105.2258064516129,298.28387096774196,195.04516129032257,112.69677419354839,229.54193548387096,750.2129032258065
29,234.29192546583852,146.17391304347825,242.68944099378882,409.14285714285717,104.72049689440993,302.75155279503105,194.92546583850933,113.35403726708074,234.04347826086956,748.0869565217391
30,232.19161676646706,149.125748502994,242.61676646706587,418.8263473053892,103.34131736526946,310.2634730538922,196.89820359281438,112.32335329341318,240.79640718562874,744.4491017964071
31,228.43023255813952,143.16860465116278,241.4127906976744,418.3837209302326,102.97674418604652,317.48837209302326,198.19767441860466,112.19186046511628,237.67441860465115,745.6453488372093
32,233.66666666666666,141.35593220338984,238.72881355932202,422.10169491525426,102.87570621468926,319.7118644067797,199.0,111.88135593220339,232.70621468926555,743.9887005649717
33,247.15934065934067,146.48901098901098,234.17582417582418,421.1098901098901,102.5989010989011,318.61538461538464,199.5934065934066,110.74175824175825,241.25824175824175,743.2857142857143
34,262.5869565217391,155.04891304347825,230.67391304347825,413.29891304347825,103.61413043478261,318.0217391304348,201.05978260869566,113.04891304347827,251.08152173913044,743.4347826086956
35,257.6182795698925,156.59677419354838,231.66666666666666,409.0376344086022,104.09139784946237,318.5806451612903,202.91935483870967,114.59139784946237,259.13978494623655,746.6827956989247
36,237.77659574468086,156.59574468085106,231.84574468085106,405.97340425531917,103.41489361702128,318.0851063829787,203.90425531914894,116.63829787234043,270.6755319148936,744.6329787234042
37,236.9895287958115,146.72251308900525,228.04166666666666,421.9114583333333,104.0625,323.28125,203.46354166666666,116.921875,280.6614583333333,739.9427083333334
38,234.51546391752578,134.17525773195877,227.54123711340208,433.9587628865979,103.27835051546391,333.0927835051546,203.7680412371134,116.12371134020619,296.6958762886598,743.7731958762887
39,234.30612244897958,129.41836734693877,231.1530612244898,436.2755102040816,103.31122448979592,340.01020408163265,205.98979591836735,115.85204081632654,307.8520408163265,752.969387755102
40,240.4070351758794,129.89949748743717,230.59798994974875,435.7035175879397,104.03517587939699,334.08040201005025,207.13065326633165,114.28643216080403,323.5778894472362,755.6733668341709
41,241.45049504950495,130.64356435643563,226.73267326732673,433.51485148514854,103.47524752475248,325.76732673267327,207.62871287128712,113.55445544554455,355.8267326732673,763.950495049505
42,247.13235294117646,134.44607843137254,226.75,413.5735294117647,103.72058823529412,322.52941176470586,208.26470588235293,114.17156862745098,394.90686274509807,758.4264705882352
43,248.2135922330097,127.55825242718447,225.70388349514562,402.5485436893204,103.49029126213593,320.04368932038835,208.97087378640776,113.62135922330097,433.0485436893204,753.6601941747573
44,261.33971291866027,121.9377990430622,224.76555023923444,409.933014354067,103.30143540669856,318.5023923444976,208.83253588516746,113.11961722488039,459.9282296650718,747.334928229665
45,274.4691943127962,122.92890995260663,224.6872037914692,414.4454976303318,102.8436018957346,317.0521327014218,207.86729857819904,112.96682464454976,467.2085308056872,750.4360189573459
46,293.9906103286385,132.61032863849766,223.10798122065728,401.5680751173709,102.1924882629108,309.1032863849765,206.85915492957747,110.82159624413146,488.3474178403756,764.830985915493
47,336.3443396226415,142.04716981132074,219.7688679245283,399.1933962264151,103.71698113207547,299.8443396226415,206.4009433962264,112.27830188679245,512.127358490566,782.2264150943396
48,370.1220657276995,147.68075117370893,219.34272300469485,400.77464788732397,104.3755868544601,294.71830985915494,204.7417840375587,111.83568075117371,542.887323943662,815.2676056338029
