Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,171.8571429,147.4285714,409.8571429,584.4285714,112.2857143,339.1428571,596.5714286,155.4285714,214.7142857,184.7142857
1,209.56,126.64,437.36,532.12,107.28,301.96,520.48,143.56,202.92,196.44
2,173.0689655,131.4482759,438.2413793,534.5172414,112.7241379,306.8275862,493.1034483,151.9310345,204.0689655,192.2758621
3,191.5757576,127.4848485,455.2121212,527.4848485,117.2424242,315.8181818,483.3939394,141.3333333,205.3636364,182.6363636
4,213.6486486,123.6216216,468.4324324,487.4054054,114.2972973,341.6216216,475.1351351,133.0810811,213.7297297,176.4594595
5,210.2682927,123.9512195,472.2439024,447.902439,110.0243902,363.0731707,448.804878,135.9756098,219.3902439,179.5853659
6,222.76,127.54,491.1,448.08,107.76,368.46,443.82,140.24,212.94,182.76
7,228.8070175,132.7192982,491.2631579,450.1403509,108.8245614,352.1403509,468.6842105,135.5964912,216.7894737,184.5087719
8,214.8387097,131.516129,478.7903226,435.1129032,110.983871,354.9354839,464.7903226,141.2096774,224.8064516,186.7419355
9,212.1044776,127.6268657,470.2089552,426,114.7462687,361.3880597,447.2835821,145.880597,226.1791045,192.4328358
10,208.9452055,123.8082192,475.5890411,423.2328767,114.9452055,369.9041096,425.8356164,149.1643836,221.4657534,201.3972603
11,211.7435897,122.8589744,491.0128205,430.025641,113.2820513,378.7820513,421.1025641,151.8076923,217.4615385,202.025641
12,207.4482759,124.7011494,506.9655172,441.3103448,110.7356322,391.6551724,436.5862069,151.7011494,215.3793103,197.7471264
13,210.6831683,130.1386139,503.6930693,435.2475248,109.5346535,403.3663366,440.980198,151.1584158,209.5148515,196.6534653
14,218.159292,129.5309735,503.5663717,428.0442478,113.619469,409.2035398,429.9646018,152.6814159,210,199.4159292
15,228.2396694,119.6859504,490.338843,432.3057851,114.6115702,405.661157,425.446281,149.3636364,204.5785124,189.768595
16,244.2923077,121.7846154,473.4615385,440.2769231,113.5230769,399.6384615,424.5538462,148.7,200.6923077,181.8692308
17,239.3687943,128.6524823,452.6241135,454.7730496,112.7092199,407.8439716,418.2411348,147.5319149,198.8297872,177.0567376
18,241.3289474,119.9144737,435.8684211,473.7565789,113.3223684,406.6118421,410.2236842,152.2565789,198.5723684,176.9605263
19,253.2578616,115.6855346,425.245283,489.9874214,115.5471698,409.9371069,407.5345912,160.245283,201.4716981,182.163522
20,272.6687117,122.1349693,420.7852761,516.6687117,115.3006135,410.4907975,412.8773006,162.3067485,206.0306748,188.7239264
21,292.8787879,130.9818182,417.8787879,540.4363636,114.3393939,406.1878788,422.6909091,158.9333333,211.1212121,195.6606061
