Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,169.119403,107.4507042,411.5149254,1020.514925,104.3283582,343.119403,325.7164179,120.5074627,189.380597,177.8656716
1,187.7253521,107.4507042,452.0915493,1106.021127,114.7464789,353.4014085,347.7957746,127.2042254,200.0422535,194.6408451
2,185.835443,103.5379747,429.9873418,1101.113924,111.8101266,330.7088608,332.0379747,121.0063291,193.2278481,193.4873418
3,193.7823529,106.7529412,429.1411765,1237.805882,118.1588235,344.9294118,344.4411765,124.6647059,206.4764706,209.1764706
4,205.6497175,109.4915254,417.1525424,1241.757062,118.3333333,345.5310734,341.9717514,122.2316384,209.1242938,208.0225989
5,221.0967742,116.5376344,421.1075269,1292.682796,121.5268817,354.655914,346.2473118,123.5483871,214.2526882,208.9731183
6,241.7552083,117.3177083,421.8489583,1312.651042,120.734375,356.859375,342.7291667,124.2395833,213.96875,210.9635417
7,269.6497462,120.0913706,425.248731,1368.182741,121.213198,358.213198,348.1472081,129.5736041,221.4416244,219.4213198
8,300.9903382,116.3864734,408.4057971,1366.198068,118.2512077,342.178744,342.2560386,129.8357488,219.6763285,215.1304348
9,340.7047619,119.0714286,405.3142857,1414.07619,119.4,339.0238095,344.6666667,131.7761905,222.5666667,219.152381
10,381.2283105,121.5159817,392.8858447,1451.803653,116.2237443,337.3242009,338.4611872,127.1187215,218.4200913,217.2283105
11,404.9026549,122.7244444,381.3362832,1467.90708,115.2977778,337.0575221,333.8230088,123.3866667,214.6106195,211.9646018
12,424.1535088,124.004386,375.8464912,1533.973684,117.0921053,345.4824561,340.4912281,125.9298246,218.5877193,219.9780702
13,421.7253219,122.8025751,357.2360515,1519.351931,116.2618026,349.5622318,334.4420601,127.7639485,218.751073,225.1158798
14,429.0462185,131.2983193,343.7184874,1521.071429,118.5210084,359.9957983,328.0714286,129.5882353,220.9915966,223.1680672
15,426.7759336,141.0912863,338.3443983,1561.684647,122.1659751,371.5684647,329.0456432,131.2157676,226.9502075,221.0912863
16,425.1680328,145.3606557,334.0286885,1617.45082,123.9631148,381.9016393,339.6311475,132.4631148,230.545082,224.5245902
17,419.2128514,141.7550201,325.6345382,1621.590361,123.9032258,381.811245,350.3534137,133.0927419,227.9156627,230.9759036
18,420.2047244,139.2874016,315.8346457,1606.897638,124.5354331,382.1181102,354.4527559,133.6220472,225.515748,236.3110236
19,429.5620155,135.0077519,308.9806202,1623.437984,125.5852713,389.9496124,353.5968992,135.2868217,226.2635659,239.8565891
20,418.862069,137.9770115,305.5057471,1660.954023,125.7931034,405.6704981,356.8773946,137.0153257,228.3103448,244.3333333
21,396.3333333,139,294.9475655,1658.659176,124.2921348,418.6779026,354.6741573,134.4344569,225,243.0411985
22,384.2389706,141.3713235,282.6948529,1643.253676,122.2904412,429.9742647,352.4742647,130.1323529,223.6102941,240.2169118
23,375.8436364,143.7236364,273.88,1616.018182,120.2109091,430.9236364,351.2436364,127.0581818,224.2218182,242.2109091
24,383.4981949,148.7689531,272.801444,1623.054152,121.0072202,428.898917,353.7184116,127.3357401,227.7472924,255.5848375
25,376.6985816,144.1702128,268.9007092,1668.578014,118.6879433,419.8049645,352.4822695,127.0106383,227.1950355,262.6489362
26,361.3298611,133.3854167,263.3263889,1731,116.2604167,414.6631944,355.3680556,126.9895833,227.28125,259.6354167
27,355.0787671,132.0034364,258.2636986,1785.119863,115.2876712,414.8116438,361.9486301,126.5,229.0547945,255.7020548
28,353.2935154,135.9624573,253.7952218,1807.750853,116.6006826,424.0546075,363.3481229,126.3105802,227.8634812,253.8259386
29,343.2852349,132.0234899,244.3691275,1746.268456,117.2651007,431.6812081,351.9127517,125.8355705,220.5604027,247.5201342
30,329.9269103,127.10299,236.807309,1682.784053,118.3887043,446.5016611,344.1162791,125.2591362,216.1561462,244.1461794
31,330.8019802,129.8811881,228.320132,1644.851485,119.7491749,465.6666667,340.1650165,123.1419142,215.7887789,243
32,335.5676568,134.3531353,219.9042904,1630.366337,122.359736,484.5313531,338.0990099,121.6468647,216.5709571,243.310231
33,327.3453947,134.8256579,212.4177632,1604.921053,124.875,489.5197368,333.4506579,120.8355263,214.4046053,242.0756579
34,316.9836066,129.7901639,207.695082,1579,124.1114754,490.757377,329.1967213,120.8327869,212.0262295,241.704918
35,302.1596091,131.3192182,203.7557003,1557.071661,119.6188925,491.8436482,325.8436482,119.7035831,211.0032573,241.276873
36,285.9739414,133.1140065,202.1042345,1542.589577,117.5374593,495.6319218,322.7915309,118.1270358,213.1693811,241.7263844
37,284.5765472,126.8534202,200.1986971,1520.70684,116.3615635,499.0944625,317.1302932,115.1693811,214.4723127,242.5732899
38,284.2996743,122.1530945,196.5830619,1502.241042,115.4267101,510.0260586,312.6384365,112.3778502,214.6026059,242.3745928
39,280.8371336,122.2084691,191.8208469,1492.596091,114.2605863,531.2084691,309.9674267,110.534202,214.9153094,241.9543974
40,284.6862745,122.8557377,186.8229508,1485.169381,112.6163934,549.7557003,308.0488599,109.7442623,215.6482085,242.9478827
41,278.1344262,125.9540984,181.6819672,1479.065574,111.3901639,566.0918033,309.6393443,109.0491803,219.3180328,247.4229508
42,267.9508197,123.2590164,178.5967213,1464.016393,111.2754098,570.4754098,308.4721311,108.1639344,221.052459,248.4590164
43,263.8,122.0262295,177.095082,1468.891803,112.3836066,574.7672131,305.1311475,106.9016393,221.6360656,247.7901639
44,247.124183,120.879085,174.6666667,1478.464052,113.3660131,577.6699346,299.7287582,105.8529412,221.2320261,245.8986928
45,230.4364821,118.3550489,170.7394137,1487.250814,113.9153094,583.3583062,296.2442997,105.3778502,220.6319218,245.8925081
46,228.1071429,114.4220779,165.6753247,1504.584416,114.7435065,583.6980519,296.9383117,104.2337662,219.4090909,247.1655844
47,232.485342,115.3257329,162.6123779,1537.80456,116.7557003,587.1693811,301.237785,104.5602606,220.7361564,248.0390879
48,234.6233766,116.9902597,159.9642857,1542.519481,118.4383117,589.4675325,303.2305195,105.5227273,220.6688312,244.0584416
49,232.8051948,114.2727273,159.4642857,1531.165584,118.6883117,600.724026,303.7045455,107.1590909,223.3019481,240.0324675
50,236.7745098,116.8202614,162.4019608,1536.186275,117.4738562,607.5882353,304.9019608,110.1666667,229.245098,241.9117647
51,242.8856209,115.9379085,164.9869281,1550.199346,115.8888889,601.0522876,306.120915,110.5130719,232.1078431,243.4215686
52,256.7189542,115.6764706,166.7124183,1574.767974,115.5882353,600.7679739,308.6960784,110.2810458,234.5980392,240.4183007
53,252.3823529,121.0588235,166.3333333,1586.797386,115.6078431,602.1176471,311.6699346,111.7352941,238.6405229,238.0718954
54,253.2852459,122.3278689,164.0295082,1590.596721,114.1147541,605.7213115,317.7278689,114.1147541,243.5180328,240.9639344
55,252.9868852,116.9606557,161.0852459,1590.619672,112.6262295,591.0721311,319.3081967,116.3704918,246.1672131,243.2131148
56,253.4295082,112.7967213,160.1967213,1590.77377,112.3737705,568.495082,320.1081967,117.4032787,249.8688525,242.7147541
57,250.6032787,109.8852459,159.5245902,1572.477124,112.9377049,555.1830065,320.9934426,117.0196721,253.748366,241.6032787
58,250.9084967,109.0915033,157.3398693,1544.98366,114.3856209,561.5555556,318.4771242,115.7875817,255.7058824,241.3104575
59,250.3464052,108.7352941,155.4836601,1506.166667,116.6405229,561.9673203,316.9444444,113.6339869,254.4934641,239.375817
60,252.9245902,107.8327869,154.5737705,1468.278689,118.8032787,557.0918033,318.7180328,112.2590164,256.5245902,236.0852459
61,251.3540984,108.242623,152.6229508,1445.681967,117.9248366,566.6666667,314.1764706,113.5901639,259.8360656,234.4032787
62,256.3137255,108.369281,150.9934641,1438.732026,118.4281046,596.120915,308.0947712,114.496732,261.7908497,233.7712418
63,261.5424837,108.2352941,151.4738562,1440.104575,119.6405229,624.251634,303.248366,115.3856209,265.6960784,234.2222222
64,270.8104575,108.2875817,151.6339869,1436.77451,119.3267974,629.0915033,302.3071895,115.754902,269.5718954,232.8006536
65,264.8333333,107.751634,151.0261438,1421.22549,117.6176471,627.9771242,300.369281,115.6862745,272.4019608,229.0457516
66,260.3901639,109.6885246,150.757377,1392.393443,117.0131148,632.2327869,302.0032787,113.7672131,278.6,226.547541
67,258.0065789,111.4440789,150.8388158,1355.125,116.2138158,634.3914474,303.4046053,112.9769737,286.7828947,224.2861842
68,258.0098684,107.3026316,150.1611842,1314.756579,114.9177632,633.5756579,301.2697368,112.9967105,293.8651316,219.0625
69,259.1848185,105.7194719,149.7194719,1301.686469,114.4686469,634.8514851,301.5313531,113.2442244,302.9669967,215.4950495
70,265.4309211,105.0230263,149.8552632,1305.125,113.4177632,633.8157895,300.4967105,113.2960526,309.1480263,215.1809211
71,272.2655738,106.0295082,151.5442623,1310.459016,113.9278689,629.5114754,304.5770492,113.8688525,313.1770492,217.6852459
72,279.9934426,108.5114754,152.8819672,1323.688525,114.9901639,629.2622951,310.7377049,113.6754098,318.6098361,219.295082
73,283.304918,110.7081967,152.9508197,1356.967213,116.895082,626.8786885,311.4852459,114.5245902,328.9147541,217.8459016
74,284.747541,108.9606557,152.4262295,1397.763934,119.4754098,632.0918033,308.6,116.557377,343.1967213,214.5114754
75,278.8071895,109.4346405,151.8954248,1429.124183,121.4771242,643.5882353,304.4934641,117.3431373,357.748366,211.4084967
76,281.9084967,109.8300654,152.7941176,1458.424837,122.2222222,658.2287582,303.1928105,116.3856209,371.6993464,209.6013072
77,286.6699346,108.754902,153.7712418,1492.120915,121.9150327,667.4738562,303.7614379,115.4509804,380.5065359,208.3954248
78,286.5294118,107.5588235,153.5947712,1517.183007,122.3856209,657.5294118,304.7908497,115.8660131,386.7810458,210.6437908
79,300.2058824,106.245098,152.4379085,1520.284314,122.5457516,655.5980392,304.4084967,119.2058824,400.0947712,212.0196078
80,335.1704918,106.7114754,151.1245902,1495.816393,121.5868852,660.4295082,304.8721311,124.2852459,420.3836066,211.7737705
81,365.6895425,107.1013072,150.0653595,1442.72549,119.7843137,653.9803922,307.9803922,126.4869281,439.9084967,211.372549
82,410.267101,105.2052117,150.5211726,1394.13355,118.9153094,652.3778502,315.5602606,127.6938111,458.4560261,211.228013
83,446.5863192,107.2019544,151.3485342,1365.980456,119.3973941,643.4983713,324.5960912,131.4234528,472.1661238,212.5895765
84,467.6948052,111.6558442,150.4902597,1348.62013,117.8181818,636.8896104,332.262987,134.9155844,488.8279221,216.487013
85,490.9448052,115.3311688,149.5032468,1335.318182,115.6136364,627.6038961,337.8863636,140.4772727,514.2175325,219.6688312
86,536.7207792,117.4318182,149.6980519,1325.399351,115.0194805,614.3701299,341.6720779,143.5422078,541.3084416,221.6785714
87,598.2012987,118.1623377,150.961039,1322.405844,117.3311688,606.3311688,342.8766234,143.4642857,559.211039,225.6266234
88,618.5954693,115.3300971,150.8932039,1334.543689,119.9061489,613.0194175,338.6796117,143.6569579,573.0420712,232.1391586
89,650.0129032,116.1935484,150.3193548,1355.625806,121.8709677,633.0354839,335.2967742,143.1806452,583.3387097,237.4967742
90,737.9158576,123.9061489,151.6245955,1376.828479,124.8252427,657.9676375,338.012945,142.776699,600.1812298,241.8414239
91,818.7475728,129.1585761,152.0032362,1378.576052,127.0420712,679.4886731,342.394822,143.2653722,625.5080906,243.5695793
92,868.5889968,123.789644,152.0420712,1381.05178,128.4401294,700.6634304,342.961165,145.0776699,659.4724919,245.5275081
93,886.8478964,119.776699,151.6084142,1388.265372,128.789644,713.2168285,337.6666667,147.6893204,690.8122977,253.2686084
94,897.4368932,123.8673139,151.4563107,1396.491909,127.7572816,704.7669903,332.7508091,150.97411,710.2006472,266.8349515
95,885.1747573,128.4045307,151.2556634,1405.63754,125.6375405,674.7734628,332.3203883,154.1779935,727.7184466,279.8381877
96,912.3733766,136.0714286,151.5032468,1415.298701,124.4220779,645.9642857,333.9025974,156.211039,750.5519481,289.3896104
97,930.0419355,130.7290323,150.4677419,1396.890323,123.1935484,634.9580645,330.1064516,153.5548387,751.8516129,294.3516129
98,946.2379421,129.2540193,149.3954984,1363.720257,120.7395498,647.2958199,324.5016077,150.3279743,736.6784566,300.2540193
99,948.8424437,128.8778135,148.511254,1353.553055,118.3536977,650.7363344,317.8906752,148.7749196,723.1511254,305.7491961
100,931.3897764,123.1948882,146.1629393,1370.297125,117.2492013,645.4536741,313.4345048,147.5814696,718.9009585,312.1214058
101,925.5239617,120.4632588,145.1661342,1416.607029,118.6517572,662.1948882,313.2619808,149.4249201,736.2875399,324.5111821
102,893.1469649,119.4376997,144.3769968,1448.463259,121.1118211,681.4153355,311.4249201,151.5974441,743.8658147,335.6900958
103,852.0288462,124.3365385,144.0480769,1457.695513,122.8076923,682.8141026,314.9391026,153.5480769,739.4198718,349.6858974
104,826.8722045,127.8945687,142.5559105,1447.936102,123.7923323,664.514377,319.7316294,154.5623003,734.7731629,366.0543131
105,787.910828,129.455414,142.0509554,1439.789809,125.5955414,646.7675159,322,155.388535,728.8216561,385.522293
106,767.7929936,129.3471338,143.4235669,1437.678344,128.7452229,645.1050955,325.2452229,156.4394904,725.1910828,405.2929936
107,756.8370607,126.4728435,144.7188498,1436.56869,129.3322684,658.85623,329.5591054,157.4376997,728.7603834,417.3961661
108,695.8343949,122.522293,144.9904459,1430.264331,127.2866242,661.9522293,332.2898089,158.3248408,734.2356688,427.4012739
