gene,draw,local_SSE,global_check_SSE,improvement,retained_improvement,global_seed
svb,1,0.032065750295469,0.03206575025795753,3.751147309438707e-11,True,2026091420
svb,2,0.0499223809810432,0.04992238097316795,7.875249063982181e-12,True,2026091421
