gene,draw,SSE,exceeds_observed,optimizer_success,successful_starts,retry,total_nfev,T,splice,decay,gain
mlpt,1,0.015868243623113884,False,True,2,False,41,0.005000000002279547,0.005000000000245592,0.4505989188632566,1.0873993552864298
mlpt,2,0.03034965088498095,False,True,2,False,56,0.005000000000003163,0.12607604904339903,0.5114365954363315,1.0009893310848978
mlpt,3,0.0162953413959976,False,True,2,False,36,0.0050000000000002,0.005000000000495,0.4795441033779445,1.1100264472073402
mlpt,4,0.0245301405766617,False,True,2,False,42,0.0050000000000942,0.005,0.5029913998700822,1.0790704807268587
mlpt,5,0.0169874875592571,False,True,2,False,60,0.5964031039963874,0.005,0.4240853202376159,1.116061926788919
mlpt,6,0.0179761613037426,False,True,2,False,72,0.1840074574463752,0.09907869003799,0.5359411851347609,1.0929407081082811
mlpt,7,0.0233752031090854,False,True,2,False,50,0.3262912131096466,0.1285615767446686,0.5195483195629425,1.1172547278380391
mlpt,8,0.0203330345267327,False,True,2,False,70,0.3938217593998725,0.0050000936398573,0.5241341603641755,1.0539954516932015
mlpt,9,0.0370760761623002,False,True,2,False,87,0.0050000001786017,0.1125739634306269,0.5419385396808443,1.0800990443341691
mlpt,10,0.0178685423822787,False,True,2,False,36,0.005000000033424,0.0050000000000558,0.3954754290780384,1.0962886822031388
mlpt,11,0.0235515855600867,False,True,2,False,75,0.0050025216073191,0.0203751492124012,0.4501000856183734,1.091041619662084
mlpt,12,0.0217096535754886,False,True,2,False,34,0.005000000000222,0.196310285121668,0.53721606903551,1.0520351755295594
mlpt,13,0.0147151979584869,False,True,2,False,35,0.0050000003925567,0.0050000000014576,0.4762834670918883,1.0646001019206812
mlpt,14,0.0223015586359166,False,True,2,False,63,0.0050000272042834,0.215950251236347,0.5291517734178962,1.072124936382753
mlpt,15,0.0294576554270927,False,True,2,False,54,0.0050000000944761,0.172305223636393,0.5214614102157886,1.0073970711492308
mlpt,16,0.0110650174975528,False,True,2,False,46,0.0050000000204706,0.005,0.4257197863988615,1.085108242125838
mlpt,17,0.040530339656578,False,True,2,False,62,0.0068993028272479,0.0050000000074247,0.4918560175959317,1.088890321308689
mlpt,18,0.0211289130377435,False,True,2,False,54,0.2552658411226686,0.2244559092080159,0.4418365843266398,1.0585367523380649
mlpt,19,0.0090475913033759,False,True,2,False,70,0.6937381015370236,0.2346295341870493,0.4911363921563487,1.0416477808701277
mlpt,20,0.0253550517075012,False,True,2,False,107,0.2606648574313026,0.0697800432711171,0.5197559218401693,1.0913255641590518
mlpt,21,0.0153866548812814,False,True,2,False,57,0.0050000000043083,0.1432137274631664,0.5506061618941542,1.04796218482767
mlpt,22,0.0330890895104777,False,True,2,False,83,0.0050000011656324,0.0156814669403042,0.4978779158684037,1.1051195007749683
mlpt,23,0.0199016845947675,False,True,2,False,108,0.1206614112375181,0.0640144422792607,0.5582652562563549,1.0992751611591027
mlpt,24,0.0282802998037059,False,True,2,False,74,0.2373590503595831,0.0543601214039748,0.5356641092452811,1.1005257692924917
mlpt,25,0.0187878325635351,False,True,2,False,46,0.0050000242361459,0.0050000000000064,0.455304246499879,1.0651519549542157
mlpt,26,0.0353904973108624,False,True,2,False,46,0.4555964108720355,0.0591999147111099,0.5561563559181586,1.1022767457090987
mlpt,27,0.0145501959864243,False,True,2,False,44,0.0050000000013723,0.0050000000000001,0.5583011371703132,1.1497824247384691
mlpt,28,0.0476227381111279,False,True,2,False,50,0.0050000229442715,0.2060926049948802,0.5418678925146914,1.0656296435867485
mlpt,29,0.011125428576152,False,True,2,False,85,0.0050000389466248,0.1389692412339689,0.5610125088377264,1.0730804048910731
mlpt,30,0.0371880114085196,False,True,2,False,64,0.4014958028766974,0.0050000000000111,0.5229559584317043,1.1078922976603445
mlpt,31,0.0170682895172659,False,True,2,False,72,0.3054497915380733,0.0972904711784917,0.5420248152227067,1.1115027948306506
mlpt,32,0.0179827647028642,False,True,2,False,104,0.24100472873463,0.0079756078909571,0.5419961439676514,1.089280871425428
mlpt,33,0.0106392672130181,False,True,2,False,62,0.0050000010880963,0.0494799567020032,0.4142784262378276,1.0506439488127015
mlpt,34,0.0107167859648617,False,True,2,False,86,0.0050000002968324,0.0360380802912518,0.4000956655332903,1.0520161308186942
mlpt,35,0.0163590137106506,False,True,2,False,88,0.0050000000340369,0.1719503543994863,0.4994174682160301,1.1039655506864816
mlpt,36,0.0371739552281396,False,True,2,False,34,0.005,0.1497349906074264,0.4970346799874485,1.065722191072665
mlpt,37,0.0369514314189797,False,True,2,False,71,0.0050000797200008,0.0050000000078662,0.2869307128638694,1.0363536803504527
mlpt,38,0.0302951110475759,False,True,2,False,46,0.005,0.1893860781165555,0.5790617172100179,1.1536509081193582
mlpt,39,0.0157589926555254,False,True,2,False,72,0.3923887223479224,0.0050953016590037,0.4825362695802446,1.0294143014962942
mlpt,40,0.0374848041941565,False,True,2,False,58,0.5773637055200352,0.178147713698755,0.5115631847163561,1.155491851959684
mlpt,41,0.0184477008868555,False,True,2,False,136,0.0775872018112588,0.226620404168392,0.4862887223627929,1.0431079584651055
mlpt,42,0.0113569520636417,False,True,2,False,85,0.1344166002174048,0.05241740038424,0.5395501259222443,1.1060948650786548
mlpt,43,0.0204074461983426,False,True,2,False,69,0.0417793240648665,0.0839609355033543,0.5339070647206091,1.0816466976810808
mlpt,44,0.0119242767190996,False,True,2,False,104,0.0051213586077628,0.124232745691443,0.5317573083591222,1.10426885364244
mlpt,45,0.0270722764043219,False,True,2,False,40,0.0050000001038095,0.0998442679821744,0.5313365450936777,1.1183140363811954
mlpt,46,0.0203178304222914,False,True,2,False,32,0.0050000723953506,0.0050000000000048,0.2895551603769382,1.0423237845137148
