gene,T,SSE,dt,successful_starts,total_starts,splice,decay,gain,center1,rise1,fall1,center2,rise2,fall2
svb,0.005,0.0739019079753214,0.025,2,2,1.3259143575288548,1.1220891577651646,1.13508156217326,7.778818519758641,7.87045327196585,0.2500000003861703,16.92268028550914,7.128457319716784,5.224631800302332
svb,0.0299999999999999,0.0739224136126158,0.025,5,5,1.3333631640438652,1.1062830653829614,1.1318493554224762,7.767829869701966,7.877365630598508,0.2500000000000975,16.91004063325846,7.13124339415277,5.226079406208481
svb,0.1,0.0740545238281714,0.025,5,5,1.3550345770826546,1.061969285216741,1.1230652618412131,7.736667799778155,7.896758333961,0.2500000254277021,16.874249021099978,7.138188569072407,5.229377583755482
svb,0.3,0.0748743920587798,0.025,2,2,1.4112034518069705,0.930076036172608,1.100571165656869,7.649829306030944,7.940885837423947,0.2500000000999969,16.775412830153346,7.151779711611171,5.23900461560296
svb,1.0,0.077822892880088,0.025,5,5,1.5458315443788306,0.3637510519538625,1.0524242747893005,7.366788202426685,7.956508592125426,0.2500000000000021,16.47206197009885,7.128312651156074,5.251370335814031
svb,3.0000000000000004,0.1199003433430115,0.025,2,2,1.3917415856909894,0.01,1.0541005736819509,6.394474707727481,7.2683003556990835,0.2500000000000003,15.687022839569469,7.04965615570102,5.260600961541007
svb,6.0,0.4145765955252621,0.025,5,5,1.7668252772095376,0.01,1.059231066745793,3.012957465715918,5.008693008907616,3.4872581846528483,13.66389337566874,6.456476056487396,5.884724969222263
