gene,draw,local_SSE,global_check_SSE,improvement,retained_improvement,global_seed
Kr,1,0.0275845661501512,0.02758456614190906,8.242139609704324e-12,True,2026091400
Kr,2,0.0509352754233871,0.050935123958455814,1.5146493128476157e-07,True,2026091401
