gene,T,SSE,dt,successful_starts,total_starts,splice,decay,gain,center1,rise1,fall1
Kr,0.005,0.038404379251356,0.025,2,2,0.542835923229623,0.698975790447931,1.0989013675328263,7.913661225359759,5.396308522010884,0.2500000000000094
Kr,0.0299999999999999,0.0386433011247038,0.025,5,5,0.545070685445543,0.6868961925184689,1.0967296253482954,7.902606542605144,5.400265341520903,0.2500000000006966
Kr,0.1,0.0393770166438754,0.025,2,2,0.5494150764955933,0.652122333695695,1.0920144450748432,7.873165416326954,5.410149210060156,0.2500000002783364
Kr,0.3,0.0418409355692902,0.025,5,5,0.5576381358068092,0.5475069552050192,1.0825877444733976,7.791254794316028,5.422748105493762,0.2500000014211594
Kr,1.0,0.0499686241224174,0.025,5,5,0.5722148995119293,0.0807510672616967,1.062857036760446,7.524756608039559,5.39451513234486,0.2500000011293899
Kr,3.0000000000000004,0.2175594060523277,0.025,2,2,0.7740846053622705,0.01,1.1112502089418372,5.9786345532854375,4.339385037673698,0.2500000000000002
Kr,6.0,0.6316362220438172,0.025,5,5,0.7975832750088362,0.01000000000192,1.1446399228902095,2.131173129320307,1.800025622628879,4.389106815233489
