gene,draw,SSE,exceeds_observed,optimizer_success,successful_starts,retry,total_nfev,T,splice,decay,gain
Kr,1,0.02758456614190906,False,True,2,False,21,0.005000000000352276,0.5651143897100505,0.8388211436767303,1.1400031451989587
Kr,2,0.050935123958455814,True,True,2,False,129,0.417723674249686,0.6719220558758161,0.6250554261418072,1.1123364175659025
Kr,3,0.0236036741093058,False,True,2,False,63,0.6302303762542949,0.573846366532213,0.6662886964920353,1.0945201830149662
Kr,4,0.0323067970073372,False,True,2,False,105,0.3403634906307179,0.547954519868704,0.5858792988624708,1.2044328848367694
Kr,5,0.0675092671123374,True,True,2,False,32,0.0050000000000961,0.4430938323730891,0.5721173376661862,1.109842947395414
Kr,6,0.0060314593746804,False,True,2,False,34,0.0050000001412852,0.5593567874364694,0.6853006345666729,1.11547570980742
Kr,7,0.0265975761766616,False,True,2,False,54,0.1827664876172519,0.4608407481754805,0.734464826362852,1.2565413208362493
Kr,8,0.0747519530563465,True,True,2,False,38,0.0050000000416144,0.4659308276541428,0.5600009548045046,1.0459804751130055
Kr,9,0.070905671285826,True,True,2,False,92,0.3261107921331909,0.6664500394747706,0.5470570074865777,1.1726789033438
Kr,10,0.1131407027038918,True,True,2,False,51,0.005,0.2743778094635654,0.4571058524820823,0.7434751385970194
Kr,11,0.0266669526764178,False,True,2,False,21,0.0050000000000124,0.5622985354777398,0.6670604863891489,1.1220690720790485
Kr,12,0.0168214716596729,False,True,2,False,27,0.0050000000062489,0.5622351999782637,0.7348252895644168,1.0993936616661544
Kr,13,0.0870254373940579,True,True,2,False,45,0.005,0.3503941361306757,0.4384959824558386,0.7710631880224081
Kr,14,0.0731076643914495,True,True,2,False,50,0.5656327797128375,0.6485227367242437,0.3703411534157088,0.9950990847165092
Kr,15,0.1124216986845848,True,True,2,False,89,0.040576183888857,0.0050442126558355,0.0470157627035348,0.7504851917902314
Kr,16,0.0178327450157116,False,True,2,False,24,0.0050000000000225,0.3050402661972531,0.4087674832439174,0.8705900107234376
Kr,17,0.1472358808459488,True,True,2,False,41,0.2434291094902902,0.480483403280479,0.566489200098273,1.0793518566585116
Kr,18,0.0186651146583152,False,True,2,False,64,0.628245104595784,0.6610892895194554,0.5496670561799122,1.119156827182225
Kr,19,0.0483394611588972,True,True,2,False,52,0.0050000043070411,0.5445033663003807,0.6862750606333664,1.1313008363806338
Kr,20,0.0674819952063605,True,True,2,False,61,0.4979535059173232,0.5423518193484981,0.5872726148581032,1.098650130641117
Kr,21,0.0245157538112822,False,True,2,False,22,0.6033093910118833,0.5688595212645691,0.5850241932270702,1.2999769291106225
Kr,22,0.0231021688633082,False,True,2,False,26,0.0050000000000225,0.4789991639748419,0.5342104747105214,1.0680178950553538
Kr,23,0.0567344791393699,True,True,2,False,46,0.0050000072140947,0.21661696744251,0.5255790759323478,0.9989908295312948
Kr,24,0.04963019797476,True,True,2,False,38,0.0050000035792449,0.4342701758585652,0.3597693981541547,1.0948141945847134
Kr,25,0.0403302423004283,True,True,2,False,80,0.0050005785857242,0.3805960230662349,0.4479246639861485,1.0589546682817073
Kr,26,0.0177417964562766,False,True,2,False,33,0.0050000559556857,0.4545887759237114,0.7410064754091055,1.0917837467138007
Kr,27,0.0488961773071812,True,True,2,False,81,0.0050000000000007,0.005000000443272,0.0397471519549309,0.8250484199605349
Kr,28,0.0099539632785975,False,True,2,False,80,1.1413377872185655,0.5053404042835163,0.010000021656094,1.1242955221284925
Kr,29,0.0086459152007829,False,True,2,False,26,0.1879500380413785,0.6813414586077975,0.7097131874015162,1.0478069011442053
Kr,30,0.1305186232637247,True,True,2,False,27,0.0050000000000001,0.2780844677223782,0.5251262503458134,0.8428249796923013
Kr,31,0.0375512769732069,False,True,2,False,104,0.11206747128797,0.0050388900396003,0.0337363270252785,0.8519082596308973
Kr,32,0.1046679838715226,True,True,2,False,77,1.03817082959425,0.6928824305354553,0.471754099663154,1.1554020403389391
Kr,33,0.0154251421210883,False,True,2,False,44,0.0050000000752035,0.4824288308232872,0.5196141118533579,1.0494007774351648
