Distance_(microns),svbint,krint,svb,mlptint,eve-en,cad,kr,mlpt,gt
0,258.7029702970297,286.1923076923077,214.65384615384616,322.84615384615387,149.84615384615384,270.65384615384613,181.80769230769232,1206.7307692307693,633.2692307692307
1,270.0576923076923,278.94444444444446,212.22222222222223,341.8888888888889,164.19444444444446,246.75,184.66666666666666,1016.8611111111111,633.1944444444445
2,275,272.1162790697674,218.34883720930233,359.4651162790698,183.65116279069767,229.04651162790697,197.8372093023256,959.3255813953489,624.7674418604652
3,280.7567567567568,279.92,232.06,330.1,204.81632653061226,221.44,202.58,916.38,616.7
4,286.5689655172414,292.60377358490564,239.32075471698113,309.3888888888889,232.24528301886792,221.0188679245283,214.54716981132074,886.8148148148148,644.7037037037037
5,288.0163934426229,289.8305084745763,228.66101694915255,328.9491525423729,246.25423728813558,216.4406779661017,208.67796610169492,814.2711864,687.4576271
6,279.96774193548384,301.2950819672131,242.29508196721312,340.95081967213116,260.1639344262295,226.01639344262296,213.3278689,755.4262295081967,731.5737704918033
7,270.468254,293.0923076923077,258.8,328.16923076923075,261.4923076923077,238.47692307692307,215.69230769230768,715.5538461538462,744.5846153846154
8,280.37984496124034,306.55882352941177,263.63235294117646,315.7647058823529,255.55882352941177,256.69117647058823,216.88235294117646,682.5441176470588,761.7205882352941
9,290.8560606060606,293.71232876712327,255.6986301369863,297.7945205479452,239.68493150684932,255.0958904109589,208.36986301369862,660.9041095890411,733.5068493150685
10,305.1119402985075,290.2894736842105,250.96052631578948,307.3421052631579,239.25,255.57894736842104,209.5921052631579,690.4605263157895,751.4736842105264
11,308.59124087591243,294.36708860759495,252.08860759493672,325.17721518987344,239.62025316455697,257.0253164556962,211.91139240506328,700.1265823,793.4430379746835
12,319.59712230215825,290.51807228915663,275.7590361445783,334.69879518072287,238.75903614457832,248.20481927710844,212.3855421686747,700.6024096385543,821.0481927710844
13,316.9718309859155,291.43023255813955,292.1162790697674,371.54651162790697,241.09302325581396,239.56976744186048,221.98837209302326,706.6976744186046,838.4069767441861
14,335.4344827586207,288.46067415730334,278.8426966292135,397.2584269662921,237.8876404494382,229.73033707865167,225.14606741573033,707.5056179775281,824.4269662921348
15,334.52027027027026,293.39130434782606,264.5326086956522,405.7826086956522,229.52173913043478,224.52173913043478,218.25,748.7065217391304,805.6630434782609
16,305.5960264900662,294.22680412371136,267.8556701030928,380.4742268041237,209.51546391752578,223.38144329896906,207.79381443298968,769.4123711340206,776.0618556701031
17,291.2026144,289.51485148514854,276.87,367.7524752475247,205.07,232.39,207.92079207920793,821.6831683168317,787.6831683168317
18,282.7741935483871,283.6730769230769,270.33653846153845,363.03846153846155,199.09615384615384,222.79807692307693,212.03846153846155,853.1346153846154,792.4519230769231
19,280.1019108280255,286.99074074074076,263.60185185185185,375.8333333333333,193.08333333333334,224.36111111111111,214.25925925925927,867.7685185185185,774.4907407407408
20,279.44099378881987,290.2162162162162,257.963964,386.73873873873873,189.73873873873873,230.4144144144144,215.02702702702703,836.2432432432432,765.4414414414415
21,283.5950920245399,295.5689655172414,252.66379310344828,395.7844827586207,183.70689655172413,236.04310344827587,211.00862068965517,819.1896551724138,758.8793103448276
22,292.80120481927713,300.0163934426229,250.71311475409837,398.2950819672131,181.18032786885246,235.81147540983608,205.2622950819672,818.8114754,748.0245901639345
23,284.26190476190476,305.71774193548384,257.1693548387097,402.94354838709677,185.08870967741936,236.05645161290323,205.54032258064515,850.983871,762.4919355
24,269.9,306.8888888888889,252.5952380952381,409.3253968253968,186.79365079365078,230.20634920634922,208.4206349206349,874.7063492063492,774.5952380952381
25,266.5,301.2015503875969,244.67441860465115,418.0077519379845,188.8139534883721,222.30232558139534,211.62790697674419,864.3953488372093,754.0620155
26,278.65714285714284,305.25,243.90151515151516,405.5681818181818,188.77272727272728,213.93939393939394,215.37878787878788,840.0454545454545,729.8636363636364
27,273.54802259887003,308.2761194029851,247.6492537313433,398.4104478,191.52238805970148,208.1417910447761,216.84328358208955,816.3432835820895,731.3432835820895
28,270.19444444444446,302.93430656934305,254.61313868613138,410.13868613138686,189.1167883211679,206.47445255474452,210.84671532846716,798.4379562043796,734.6350364963504
29,278.0497237569061,313.44604316546764,265.9064748201439,434.294964,181.41007194244605,214.63309352517985,208,792.4244604316547,753.5827338129496
