Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,91.625,111.6875,215.6875,682.0625,118,275.625,359.0625,94.1875,158.8125,288.5
1,103.6521739,124.5652174,304.8695652,609.3913043,134.8695652,289.9130435,407.9130435,99.34782609,174.173913,248.7826087
2,103.4848485,128.5454545,352.1212121,541.0909091,130.5151515,287.030303,425.1515152,101.030303,174.0909091,226.2424242
3,100.1428571,141.4761905,391.8571429,511.2857143,125.4047619,297.3571429,422.2619048,101.3809524,174.1666667,220.4285714
4,104.22,168.52,382.88,516.4,125.72,312.5,424.36,105.62,177.8,215.84
5,113.3888889,217.7222222,396,536.1296296,135.2962963,351.4814815,456.3333333,116.2962963,188.0185185,221.1296296
6,115.9473684,277.4210526,393.4561404,514.8947368,135.4210526,359.7192982,468.7719298,117.7368421,190.0526316,215.4736842
7,118.6271186,344.4067797,393.4237288,501.5423729,133.7457627,365.6949153,484.7288136,119.7966102,196.2542373,217.8305085
8,118.1290323,398.8387097,384.2096774,486.7096774,130.4677419,366,493.7580645,120.0645161,198.2903226,215.9516129
9,117.7464789,434.2535211,360.5211268,461.028169,126.3380282,346.3521127,483.2957746,115.6197183,193.4225352,204.3802817
10,119.0116279,472.0930233,338.5348837,438.2209302,122.2209302,322.3139535,463.5813953,109.5465116,188.0116279,206.2906977
11,120.1495327,458.4859813,315.682243,431.7757009,114.8055556,291.1009174,418.0458716,102.6296296,177.9626168,209.2777778
12,132.5793651,425.0873016,331.7777778,466.7380952,125.1428571,302.5555556,429.952381,112.5793651,183.6031746,223.0396825
13,132.9565217,418.1666667,337.9347826,485.4202899,126.673913,311.4275362,439.1376812,116.7608696,184.1086957,221.4492754
14,132.5035461,418.1985816,341.4609929,493.964539,126.4964539,335.9929078,450.0496454,120.5602837,185.3617021,217.0780142
15,136.9724138,390.8137931,335.1034483,491.4137931,124.2068966,351.6,448.1586207,121.6413793,182.6068966,213.2551724
16,149.4832215,381.6778523,325.3691275,493.442953,124.4026846,360.3422819,442.0604027,123.2483221,182.4026846,215.2818792
17,154.5294118,406.4183007,313.1699346,495.7581699,124.4640523,366.8496732,434.9411765,123.9803922,182.9281046,219.3921569
18,157.1974522,442.2292994,302.8280255,502.7770701,124.1847134,377.8535032,429.4458599,124.0764331,183.5541401,223.7070064
19,160.475,466.175,294.8,509.1875,124.3875,393.0375,427.43125,125.2125,183.19375,221.75625
20,165.1656442,503.1349693,285.3251534,504.3067485,123.6380368,401.7116564,427.3803681,126.5828221,183.4355828,217.5460123
21,175.5114943,513.3793103,263.5747126,473.1436782,117.8793103,379.2068966,412.2931034,121.3908046,177.6551724,207.045977
22,203.3977901,537.5027624,257.4475138,474.6077348,120.9723757,376.8066298,424.8508287,122.7734807,183.0552486,211.7734807
23,224.8563536,558.5690608,260.4198895,493.1325967,125.8232044,391.839779,446.6906077,127.6298343,192.3038674,222.558011
24,233.9398907,528.9562842,252.3989071,495.9016393,124.0819672,401.2240437,446.1639344,127.2076503,192.1092896,222.6830601
25,256.7445652,537.2391304,249.2173913,508.1086957,124.1304348,417.2445652,443.1032609,125.7826087,192.3369565,222.4184783
26,270.4673913,531.8369565,248.3315217,518.0597826,124.7336957,422.2391304,436.0108696,123.1902174,192.4021739,223.3369565
