Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,97.11111111,114.2777778,545.3888889,596.6666667,91.83333333,396.4444444,247.2777778,121.3333333,210.6666667,214.1111111
1,87.80952381,105.2380952,550.9047619,626.1428571,92.76190476,399.1428571,254,123.1904762,206.8571429,206.6666667
2,89.64102564,102.0512821,502.4358974,558.6923077,93.15384615,391,242.2051282,116.5384615,200.7692308,204.025641
3,99.28169014,96.36619718,457.6338028,523.6619718,93.05633803,371.5070423,222.056338,114.0422535,200.1830986,199.1690141
4,100.4086022,99.60215054,463.827957,515.1827957,92.75268817,371.6666667,214.172043,114.9677419,196.9139785,203.0322581
5,98.37623762,103.6534653,463.6138614,502.8217822,92.24752475,369.1485149,212.7623762,117.3465347,200.5148515,208.029703
6,98.28971963,110.0934579,458.0560748,489.7663551,92.29906542,356.7476636,212.0373832,118.1121495,202.0560748,212.2149533
7,97.14782609,115.2869565,441.5565217,488.7304348,92.84347826,346.173913,211.0173913,116.5217391,199.6521739,216.8695652
8,97.52,124.28,442.128,481.448,92.72,350.336,211.664,116.56,195.416,219.224
9,98.97014925,135.4626866,449.4029851,487.9402985,92.1119403,360.1492537,212.9179104,118.8507463,195.3955224,219.4402985
10,100.0206897,142.3034483,455.2827586,501.7517241,91.69655172,368.2896552,215.462069,122.137931,195.1517241,217.1655172
11,102.1923077,146.8910256,457.5705128,491.7371795,90.66666667,375,212.3141026,123.5833333,195.1538462,216.2179487
12,105.6545455,159.8060606,454.5939394,491.4848485,90.38181818,393.2666667,208.4666667,125.3272727,195.6,217.1575758
13,108.5428571,179.0057143,434.7314286,492.3314286,90.95428571,411.7657143,208.1314286,127.6285714,194.4685714,221.9028571
14,106.9193548,189.0967742,408.3655914,469.0752688,90.61290323,413.3817204,206.3817204,128.6290323,190.7043011,220.844086
15,105.7897436,192.2666667,394.8102564,453.8923077,89.69230769,410.5948718,203.2871795,128.9641026,185.3641026,215.9384615
16,107.5414634,204.5414634,383.9219512,451.0390244,89.03902439,407.0439024,201.0926829,129.9170732,180.9804878,213.7170732
17,111.1886792,221.2735849,374.3301887,456.5518868,88.36792453,409.7924528,198.4009434,129.4528302,177.6226415,212.2216981
18,115.3551402,247.1168224,363.5280374,451.588785,87.8317757,420.6308411,195.5514019,127.8598131,176.135514,215.3691589
19,120.9543379,275.2146119,339.7442922,449.2876712,87.82648402,424.43379,192.9086758,125.8447489,176.4931507,221.0091324
20,128.1809955,304.199095,314.1266968,452.9638009,88.19457014,426.6877828,192.7873303,125.39819,174.678733,222.5927602
21,134.3303571,328.5223214,301.8303571,461.7366071,87.92410714,422.4910714,193.3125,124.4821429,172.6607143,224.15625
22,141.9166667,351.8859649,279.1578947,463.9692982,88.08333333,419.4166667,193.4473684,123.1973684,172.7192982,229.5307018
23,150.7043478,385.026087,261.4478261,459.0869565,88.22173913,416.5391304,194.326087,122.4608696,173.2130435,240.2652174
24,156.193133,413.9742489,250.7682403,448.0858369,88.33905579,415.9484979,191.4849785,121.0600858,173.695279,247.0858369
25,158.1567797,431.7457627,240.5635593,464.8559322,88.83898305,420.9491525,187.9576271,120.6694915,177.3855932,249.9025424
26,156.5294118,440.7647059,234.4327731,465.9789916,88.57983193,424.4915966,187.3655462,120.3529412,179.7983193,252.9915966
27,147.4618644,449.8220339,228.7966102,462.9957627,87.68220339,427.0084746,188.3601695,117.0889831,181.1864407,258.6610169
28,137.2478261,456.7304348,221.3695652,463.3217391,87.83913043,424.4217391,187.873913,113.7565217,182.2652174,264.8826087
29,131.1919643,456.1964286,215.1294643,454.6160714,88.07589286,427.3660714,185.5044643,112.7321429,182.46875,265.6919643
30,127.0228311,437.0410959,205.196347,447.5388128,88.13242009,424.5388128,181.5205479,111.9817352,180.5159817,264.739726
31,124.5046296,431.6435185,194.037037,444.837963,87.76388889,424.8518519,179.2777778,111.5138889,177.8240741,264.9675926
32,122.9677419,451.4423963,192.5529954,434.3317972,87.2718894,432.9354839,178.0230415,109.7327189,177.7834101,265.3317972
