Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,242.5,454.0,190.0,563.5,134.5,330.0,228.0,127.0,176.0,791.5
1,170.33333333333334,633.5555555555555,215.0,521.7777777777778,132.11111111111111,294.77777777777777,267.55555555555554,128.11111111111111,140.11111111111111,1039.111111111111
2,174.73333333333332,576.3333333333334,224.73333333333332,569.9333333333333,131.6,298.46666666666664,273.06666666666666,117.66666666666667,150.06666666666666,1119.4
3,189.5,594.25,214.1,605.15,135.9,273.25,276.15,114.75,154.2,933.3
4,192.34615384615384,751.8076923076923,202.46153846153845,603.1153846153846,130.34615384615384,283.8076923076923,295.2692307692308,120.15384615384616,155.3846153846154,838.4615384615385
5,193.6451612903226,772.4516129032259,189.06451612903226,576.9677419354839,125.7741935483871,297.19354838709677,300.2258064516129,121.35483870967742,143.5483870967742,880.7741935483871
6,205.80555555555554,731.1944444444445,193.16666666666666,581.1111111111111,132.11111111111111,296.6666666666667,291.6388888888889,129.05555555555554,144.16666666666666,849.8333333333334
7,192.4878048780488,715.8048780487804,204.21951219512195,579.9512195121952,133.1951219512195,293.7073170731707,270.3414634146341,132.3170731707317,147.1951219512195,805.9756097560976
8,191.17391304347825,719.2173913043479,209.45652173913044,565.5,131.1086956521739,292.89130434782606,259.8478260869565,134.02173913043478,145.84782608695653,788.9347826086956
9,199.5,795.1538461538462,222.8653846153846,543.75,132.32692307692307,276.90384615384613,263.75,132.67307692307693,152.46153846153845,817.0384615384615
10,203.4920634920635,665.952380952381,229.23809523809524,512.952380952381,127.63492063492063,294.8095238095238,268.53968253968253,130.77777777777777,143.3015873015873,779.6984126984127
11,194.25757575757575,623.9242424242424,214.42424242424244,488.2121212121212,124.13636363636364,314.6363636363636,263.5151515151515,126.34848484848484,140.5151515151515,740.8333333333334
12,186.25757575757575,652.3636363636364,197.06060606060606,491.8636363636364,125.65151515151516,316.3030303030303,255.0,125.31818181818181,141.0151515151515,750.7272727272727
