Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,386.0,201.3,268.1,931.2,150.0,268.2,425.4,181.6,163.5,594.4
1,412.6666666666667,172.33333333333334,239.33333333333334,989.4166666666666,146.0,257.8333333333333,537.8333333333334,161.16666666666666,164.08333333333334,596.3333333333334
2,356.0769230769231,142.0,193.15384615384616,860.0769230769231,140.3846153846154,291.2307692307692,605.3846153846154,206.76923076923077,170.53846153846155,532.3846153846154
3,243.91304347826087,130.2173913043478,170.17391304347825,692.2608695652174,118.3913043478261,260.4347826086956,402.7826086956522,199.08695652173913,170.2173913043478,412.39130434782606
4,233.0,153.6216216216216,207.64864864864865,658.4324324324324,125.89189189189189,265.86486486486484,406.27027027027026,192.59459459459458,161.94594594594594,432.8378378378378
5,188.94827586206895,169.9655172413793,204.86206896551724,739.551724137931,124.86206896551724,290.55172413793105,455.67241379310343,191.06896551724137,165.51724137931035,438.55172413793105
6,178.28,184.0,196.32,736.6,132.61333333333334,303.5733333333333,450.6,179.74666666666667,171.42666666666668,439.96
7,160.42391304347825,177.84782608695653,202.65217391304347,709.8913043478261,131.3586956521739,325.19565217391306,457.8369565217391,172.8586956521739,173.8804347826087,450.1304347826087
8,165.3469387755102,194.42857142857142,186.80612244897958,698.2755102040817,136.4795918367347,348.2755102040816,453.6938775510204,170.53061224489795,168.89795918367346,444.7551020408163
9,173.27272727272728,211.5252525252525,180.45454545454547,717.040404040404,136.37373737373738,353.34343434343435,445.2929292929293,178.5252525252525,167.68686868686868,446.949494949495
10,180.60194174757282,212.76699029126215,172.7378640776699,756.6310679611651,135.4757281553398,351.4757281553398,441.77669902912623,183.55339805825244,172.4757281553398,445.2135922330097
11,199.7663551401869,209.13084112149534,169.38317757009347,759.803738317757,135.6448598130841,376.76635514018693,432.9626168224299,181.5981308411215,172.81308411214954,457.1775700934579
12,192.53153153153153,228.06306306306305,166.02702702702703,746.1081081081081,135.77477477477478,411.8738738738739,453.3783783783784,173.38738738738738,176.54954954954954,470.8828828828829
13,180.7079646017699,239.3362831858407,168.31858407079645,692.8053097345132,140.60176991150442,419.3185840707965,476.5132743362832,167.06194690265488,174.5929203539823,494.57522123893807
14,156.36206896551724,235.55172413793105,170.70689655172413,698.1379310344828,140.97413793103448,443.4396551724138,473.38793103448273,162.1551724137931,179.7155172413793,493.2586206896552
15,149.175,202.3,171.85833333333332,688.4,141.68333333333334,444.03333333333336,442.98333333333335,165.18333333333334,179.51666666666668,481.96666666666664
16,136.32539682539684,198.6904761904762,161.4206349206349,655.2936507936508,141.4920634920635,443.3888888888889,431.0079365079365,162.73809523809524,172.88095238095238,488.35714285714283
17,138.69655172413792,167.84137931034482,163.5655172413793,608.9241379310345,136.68275862068967,440.4206896551724,405.31724137931036,160.91034482758621,170.29655172413794,472.1241379310345
18,133.86486486486487,166.32432432432432,156.68243243243242,595.1351351351351,136.32432432432432,432.80405405405406,396.44594594594594,157.61486486486487,176.10135135135135,474.56756756756755
19,133.40540540540542,156.7027027027027,148.03378378378378,593.4864864864865,135.3716216216216,452.19594594594594,378.39864864864865,153.16216216216216,176.70945945945945,463.75
20,129.62666666666667,157.83333333333334,142.42666666666668,595.8933333333333,135.14,424.52666666666664,369.11333333333334,148.3,174.5,461.92
21,128.3020134228188,155.1275167785235,137.43624161073825,583.9597315436241,136.78523489932886,407.1543624161074,367.13422818791946,151.00671140939596,175.70469798657717,455.02013422818794
22,134.7248322147651,137.48322147651007,139.8523489932886,577.7181208053692,136.7718120805369,427.19463087248323,365.93959731543623,144.18120805369128,181.95302013422818,462.71140939597313
23,129.14093959731542,134.46308724832215,135.751677852349,576.8859060402684,136.51006711409397,448.7718120805369,369.69127516778525,140.5234899328859,178.64429530201343,458.6845637583893
24,119.62,130.06,133.44,590.14,137.16,438.22,370.24666666666667,142.08666666666667,185.14666666666668,447.76
25,117.81333333333333,115.42666666666666,133.09333333333333,569.82,137.84666666666666,425.2133333333333,369.64,143.94,194.38666666666666,442.4066666666667
26,109.77333333333333,116.84666666666666,131.32666666666665,537.38,137.92666666666668,423.06,360.55333333333334,144.68666666666667,217.88,453.1333333333333
27,108.90666666666667,109.12,129.14,528.1,136.64,419.85333333333335,363.3933333333333,142.23333333333332,223.84666666666666,460.00666666666666
28,107.54966887417218,108.21192052980132,129.75496688741723,510.50993377483445,137.65562913907286,412.7615894039735,350.0066225165563,142.88079470198676,228.49006622516555,447.71523178807945
29,103.02666666666667,108.6,131.04,549.5066666666667,140.28,407.53333333333336,347.44,142.47333333333333,233.36666666666667,448.9533333333333
30,103.10596026490066,103.09933774834437,130.72185430463577,553.5033112582781,138.47019867549668,422.89403973509934,332.95364238410593,145.43046357615893,234.09271523178808,462.4370860927152
31,102.18543046357615,93.84105960264901,131.28476821192052,535.1655629139073,138.18543046357615,427.9205298013245,339.9337748344371,139.74172185430464,240.11920529801324,461.96026490066225
32,101.71710526315789,96.36184210526316,128.48026315789474,512.4473684210526,136.7171052631579,441.4144736842105,342.6118421052632,144.48026315789474,245.6578947368421,447.99342105263156
33,100.35761589403974,91.74834437086092,129.66887417218544,520.0927152317881,136.41721854304635,436.2450331125828,340.1788079470199,147.9271523178808,266.94701986754967,446.92715231788077
34,97.5364238410596,92.17880794701986,131.8476821192053,534.1059602649007,135.1523178807947,411.64900662251654,339.5364238410596,150.08609271523179,294.3774834437086,443.78145695364236
35,98.6887417218543,91.65562913907284,131.47019867549668,534.2119205298013,138.841059602649,422.78145695364236,338.3907284768212,150.04635761589404,296.19867549668874,435.86092715231786
36,96.81456953642385,87.0,132.0794701986755,526.8476821192053,138.3841059602649,412.80132450331126,350.0662251655629,150.1456953642384,315.9205298013245,431.4834437086093
37,93.86184210526316,89.32894736842105,128.625,497.9144736842105,136.25,403.2631578947368,349.79605263157896,150.96052631578948,329.88157894736844,433.67763157894734
