gene,shape,mode,stage_index,intron,exon,intron_fit,exon_fit,intron_residual,exon_residual
Kr,cosine,collapsed,1,0.03271028037383177,0.006035566732530986,0.03133406100106255,0.015309439462553611,-0.0013762193727692232,0.009273872730022625
Kr,cosine,collapsed,2,0.07710280373831775,0.040524519489850905,0.03133406100106258,0.015309439462553566,-0.045768742737255175,-0.02521508002729734
Kr,cosine,collapsed,3,0.08551401869158878,0.05388898868331238,0.035974553547757276,0.017982541132763857,-0.04953946514383151,-0.03590644755054852
Kr,cosine,collapsed,4,0.12102803738317756,0.060930483204598526,0.12311787143651945,0.08200052794435388,0.002089834053341885,0.02107004473975535
Kr,cosine,collapsed,5,0.37009345794392523,0.3343991377761811,0.3303019076086303,0.2635149476952327,-0.03979155033529491,-0.07088419008094837
Kr,cosine,collapsed,6,0.5112149532710281,0.4634453026764864,0.6012205042749021,0.5322346986647868,0.09000555100387408,0.06878939598830036
Kr,cosine,collapsed,7,0.8738317757009346,0.8392311837614514,0.8484700296367698,0.8082932042076858,-0.02536174606416486,-0.03093797955376565
Kr,cosine,collapsed,8,1.0,1.0,0.9772280210123169,0.9962475619783546,-0.022771978987683128,-0.0037524380216453768
Kr,cosine,collapsed,9,0.17102803738317757,0.36227770792168135,0.1963826862085848,0.4013409465204854,0.025354648825407222,0.03906323859880406
Kr,cosine,collapsed,10,0.10864485981308411,0.17801329261720855,0.0574515327126819,0.13024930996122916,-0.05119332710040221,-0.04776398265597939
Kr,cosine,collapsed,11,0.021962616822429906,0.07012753727321717,0.03546691777432788,0.04644098785135568,0.013504300951897974,-0.02368654942186149
Kr,cosine,collapsed,12,0.03177570093457944,0.014657804921860966,0.031988048695464455,0.023346557915854285,0.00021234776088501633,0.00868875299399332
Kr,cosine,collapsed,13,0.022897196261682243,0.010634093766840309,0.03143754871619549,0.01732890468273524,0.008540352454513244,0.00669481091589493
Kr,cosine,collapsed,14,0.011682242990654205,0.009197054068618647,0.03135043700824748,0.015808696655777672,0.019668194017593274,0.006611642587159025
Kr,cosine,collapsed,15,0.025233644859813085,0.004742231004131489,0.03133665235802808,0.015431630684727889,0.006103007498214994,0.010689399680596401
Kr,cosine,collapsed,16,0.027102803738317756,0.011640021555595473,0.0313344710601688,0.01533915507986996,0.004231667321851047,0.003699133524274487
