Distance_(microns),svbint,krint,svb,mlptint,eve-en,cad,kr,mlpt,gt
0,411.6521739130435,144.2608695652174,599.2753623188406,188.2391304347826,502.0652173913044,176.45652173913044,485.3333333333333,699.195652173913,358.2971014492754
1,395.61267605633805,145.88732394366198,601.6619718309859,192.64084507042253,494.28169014084506,182.33802816901408,477.7957746478873,641.4788732394367,351.5633802816901
2,403.75,146.81756756756758,584.7364864864865,197.5472972972973,482.0472972972973,187.49324324324326,484.2837837837838,614.6351351351351,353.2162162162162
3,384.6948051948052,147.03896103896105,578.4545454545455,194.8961038961039,481.85714285714283,184.33766233766235,495.6818181818182,607.8701298701299,349.2012987012987
4,364.5375,147.2125,570.15,188.35,487.81875,182.2,501.66875,584.6,345.1125
5,343.780487804878,147.52439024390245,567.0060975609756,189.75,478.6829268292683,183.9329268292683,491.5792682926829,559.3963414634146,350.4634146341463
6,348.27710843373495,145.89156626506025,577.7650602409639,190.3855421686747,468.7469879518072,186.4879518072289,495.6024096385542,540.0120481927711,357.3734939759036
7,360.98802395209583,146.88023952095807,559.6407185628742,190.0119760479042,463.20958083832335,185.36526946107784,495.377245508982,537.562874251497,359.21556886227546
8,385.3905325443787,151.75739644970415,552.9940828402367,187.20710059171597,466.92899408284023,193.41420118343194,497.61538461538464,522.792899408284,366.76331360946745
9,411.1169590643275,148.76023391812865,554.5672514619883,182.98245614035088,499.4035087719298,197.42105263157896,500.89473684210526,501.22222222222223,372.46198830409355
10,425.63793103448273,149.21264367816093,556.0229885057471,177.7816091954023,509.6551724137931,190.27011494252875,507.85632183908046,474.3333333333333,366.78735632183907
11,414.19662921348316,145.30898876404495,559.7977528089888,177.19101123595505,501.6741573033708,181.62921348314606,509.1179775280899,457.814606741573,359.4269662921348
12,389.561797752809,148.26966292134833,556.3033707865169,181.32584269662922,502.55056179775283,180.8932584269663,493.7415730337079,446.41011235955057,358.561797752809
13,372.86033519553075,153.15642458100558,548.5251396648044,183.80446927374302,503.9217877094972,181.39664804469274,489.49162011173183,431.7709497206704,364.3296089385475
14,375.05555555555554,153.20555555555555,556.2888888888889,184.32777777777778,504.8388888888889,181.13888888888889,490.6333333333333,418.31111111111113,371.68333333333334
15,361.8296703296703,148.34615384615384,553.8516483516484,185.95604395604394,507.35714285714283,180.47252747252747,508.64285714285717,384.3131868131868,379.9175824175824
16,359.0655737704918,147.81420765027323,548.3224043715848,190.45901639344262,518.5300546448087,182.21857923497268,516.5846994535519,370.24043715846994,393.1639344262295
17,371.69945355191254,150.50819672131146,544.0710382513661,189.75409836065575,526.1256830601093,183.89071038251367,496.9726775956284,358.40983606557376,393.79234972677597
