Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,233.0,165.57142857142858,391.85714285714283,392.57142857142856,205.21428571428572,514.9285714285714,643.7857142857143,205.42857142857142,370.0,271.0
1,251.52380952380952,206.28571428571428,428.6666666666667,444.8095238095238,214.85714285714286,643.4761904761905,711.7142857142857,263.3809523809524,370.23809523809524,276.95238095238096
2,326.1666666666667,205.41666666666666,419.2083333333333,489.0833333333333,194.95833333333334,623.7916666666666,688.5833333333334,215.375,380.9166666666667,280.1666666666667
3,319.92857142857144,216.75,407.60714285714283,506.0357142857143,201.85714285714286,640.3214285714286,787.2857142857143,233.71428571428572,381.39285714285717,294.89285714285717
4,309.03225806451616,210.7741935483871,410.19354838709677,477.1290322580645,199.32258064516128,598.1612903225806,713.1935483870968,230.58064516129033,358.5806451612903,283.741935483871
5,272.77142857142854,232.85714285714286,373.9428571428571,479.9428571428571,190.4,599.7142857142857,684.4571428571429,234.14285714285714,367.74285714285713,280.0
6,235.0,220.02,352.6,464.24,196.92,558.28,670.58,223.22,350.76,266.52
7,249.89473684210526,199.98245614035088,370.94736842105266,492.7543859649123,189.87719298245614,593.438596491228,713.2280701754386,247.6140350877193,361.94736842105266,277.0
8,264.44262295081967,209.19672131147541,377.40983606557376,509.7049180327869,205.18032786885246,629.8688524590164,701.983606557377,245.50819672131146,361.4754098360656,271.327868852459
9,286.56060606060606,217.4848484848485,384.07575757575756,534.1515151515151,196.5151515151515,641.7424242424242,696.7272727272727,234.28787878787878,344.5151515151515,289.0
10,292.53521126760563,238.1549295774648,374.2676056338028,566.9718309859155,202.3661971830986,716.4225352112676,706.2253521126761,230.54929577464787,360.14084507042253,292.71830985915494
11,334.3066666666667,243.14666666666668,360.88,600.8,205.17333333333335,740.6666666666666,714.4666666666667,216.10666666666665,380.88,296.9866666666667
12,341.39240506329116,250.36708860759492,355.26582278481015,605.493670886076,202.08860759493672,705.506329113924,715.379746835443,234.83544303797467,372.73417721518985,308.7848101265823
13,319.2142857142857,267.3809523809524,361.1309523809524,631.7142857142857,211.32142857142858,686.9642857142857,740.0357142857143,242.26190476190476,385.5238095238095,310.1309523809524
14,325.29213483146066,253.3932584269663,330.1685393258427,619.2022471910112,203.67415730337078,645.7977528089888,752.5955056179776,243.1123595505618,365.5056179775281,304.0
15,299.7173913043478,260.64130434782606,315.6195652173913,579.7173913043479,203.56521739130434,656.25,733.195652173913,249.08695652173913,380.8478260869565,290.25
16,277.16494845360825,250.84536082474227,290.45360824742266,566.0618556701031,203.42268041237114,648.7216494845361,717.2061855670103,258.0515463917526,389.64948453608247,296.22680412371136
17,281.87254901960785,258.5,271.70588235294116,563.4705882352941,203.97058823529412,624.0980392156863,719.656862745098,236.33333333333334,380.3921568627451,299.1372549019608
18,269.8301886792453,266.1132075471698,260.8018867924528,545.811320754717,199.66037735849056,667.7641509433962,736.311320754717,237.62264150943398,379.27358490566036,294.3490566037736
19,253.5818181818182,282.6272727272727,254.61818181818182,551.8727272727273,202.1909090909091,709.3,736.0181818181818,220.73636363636365,377.7818181818182,292.74545454545455
20,253.68421052631578,283.5964912280702,254.7982456140351,548.5263157894736,199.64912280701753,721.2368421052631,725.2280701754386,229.99122807017545,391.3070175438597,293.89473684210526
21,252.23076923076923,291.5128205128205,254.98290598290598,570.8119658119658,198.67521367521368,681.1709401709402,715.1965811965812,231.54700854700855,394.7350427350427,305.0769230769231
22,243.72881355932202,284.97457627118644,248.47457627118644,595.7372881355932,206.0593220338983,656.4915254237288,730.771186440678,225.82203389830508,405.2542372881356,300.6186440677966
23,232.23333333333332,289.8,242.65833333333333,622.875,211.04166666666666,670.4416666666667,747.9,244.425,399.4916666666667,319.275
24,231.827868852459,285.827868852459,238.6639344262295,635.639344262295,206.44262295081967,681.1147540983607,761.6967213114754,272.5081967213115,404.87704918032784,317.155737704918
25,228.98360655737704,291.9918032786885,230.2622950819672,639.5901639344262,203.86065573770492,695.327868852459,740.4180327868852,270.2295081967213,392.8032786885246,323.39344262295083
26,233.368,284.688,232.056,619.08,212.496,749.528,737.288,258.712,399.528,314.776
27,218.16666666666666,305.22222222222223,230.11904761904762,594.8015873015873,215.27777777777777,763.4920634920635,729.0,247.5873015873016,391.2857142857143,316.07142857142856
28,208.2734375,299.3046875,229.5703125,613.7890625,210.5625,772.25,723.640625,233.8515625,393.734375,307.65625
29,218.8139534883721,313.27131782945736,234.75193798449612,603.8372093023256,211.52713178294573,763.4341085271318,722.7906976744187,254.51937984496124,397.50387596899225,313.29457364341084
30,215.17557251908397,319.2977099236641,226.22137404580153,613.9160305343512,214.36641221374046,724.4885496183206,754.1526717557252,240.54198473282443,403.381679389313,316.6793893129771
31,210.5563909774436,317.98496240601503,227.8421052631579,621.4962406015038,209.18796992481202,720.5714285714286,752.781954887218,222.7218045112782,409.09774436090225,310.2706766917293
32,210.28358208955223,316.6044776119403,235.06716417910448,645.276119402985,208.70149253731344,756.455223880597,755.5373134328358,236.98507462686567,407.1044776119403,316.47014925373134
33,210.65925925925927,327.3925925925926,230.6074074074074,676.0518518518519,216.0,823.325925925926,752.5259259259259,248.77777777777777,404.52592592592595,324.54814814814813
34,208.9485294117647,333.8897058823529,228.4485294117647,659.1470588235294,214.47794117647058,828.25,761.125,244.4191176470588,418.24264705882354,331.15441176470586
35,225.54014598540147,335.992700729927,232.4087591240876,672.4963503649635,210.96350364963504,821.2481751824818,750.07299270073,225.93430656934308,410.11678832116786,347.8029197080292
36,221.63970588235293,359.70588235294116,237.89705882352942,658.75,210.35294117647058,795.6985294117648,758.1102941176471,222.77205882352942,428.24264705882354,336.36764705882354
37,222.1231884057971,352.27536231884056,232.768115942029,642.3333333333334,212.231884057971,796.7173913043479,765.1376811594203,222.66666666666666,439.9347826086956,325.4855072463768
38,215.58992805755395,302.158273381295,226.46043165467626,633.136690647482,220.55395683453239,779.884892086331,758.2014388489208,229.98561151079136,435.58273381294964,321.80575539568343
39,224.98581560283688,286.11347517730496,225.8368794326241,642.4539007092199,221.31914893617022,794.7304964539007,766.9645390070922,223.3049645390071,439.51063829787233,314.97872340425533
40,221.14893617021278,288.12056737588654,234.5035460992908,642.6382978723404,207.89361702127658,787.5886524822695,767.7517730496454,220.75886524822695,438.4468085106383,316.63120567375887
41,212.4822695035461,288.5390070921986,231.1631205673759,631.7234042553191,210.53191489361703,737.2907801418439,745.4113475177305,231.97163120567376,447.0567375886525,317.4326241134752
42,211.55633802816902,272.03521126760563,230.29577464788733,618.6830985915493,203.8732394366197,742.7605633802817,749.3239436619718,231.5211267605634,437.63380281690144,323.36619718309856
43,213.48951048951048,259.3356643356643,227.7762237762238,646.9090909090909,203.82517482517483,727.0909090909091,736.3146853146853,229.93006993006992,435.1958041958042,320.9160839160839
44,215.23076923076923,260.83916083916085,228.4825174825175,632.2867132867133,203.04195804195805,711.4475524475524,721.4755244755245,218.37062937062936,435.041958041958,319.6293706293706
45,203.6993006993007,263.72027972027973,229.7062937062937,617.5314685314685,201.08391608391608,752.5104895104895,708.5594405594405,212.83216783216784,436.35664335664336,314.83216783216784
46,209.1875,257.8541666666667,227.875,599.9861111111111,209.35416666666666,732.7777777777778,709.4444444444445,204.09027777777777,443.0486111111111,297.3125
47,199.89583333333334,257.8611111111111,221.22916666666666,597.6944444444445,202.98611111111111,684.3263888888889,714.25,205.36805555555554,436.4861111111111,302.6875
48,198.15972222222223,249.40972222222223,218.01388888888889,609.1597222222222,199.98611111111111,659.2916666666666,701.7152777777778,215.65277777777777,440.52777777777777,304.4861111111111
49,182.1164383561644,251.18493150684932,222.32876712328766,589.7054794520548,206.33561643835617,670.917808219178,694.2602739726027,211.47260273972603,431.2945205479452,299.027397260274
50,180.7054794520548,259.94520547945206,222.17123287671234,565.1164383561644,197.9931506849315,661.8904109589041,663.1986301369863,206.18493150684932,443.13013698630135,305.6232876712329
51,176.12925170068027,265.4421768707483,216.34013605442178,562.1700680272108,196.16326530612244,655.047619047619,658.0,215.2925170068027,446.9591836734694,294.5986394557823
52,175.10204081632654,263.17687074829934,214.72108843537416,580.0884353741496,202.08843537414967,633.6122448979592,680.4965986394558,225.72108843537416,437.94557823129253,296.9795918367347
53,176.99324324324326,255.22972972972974,217.74324324324326,598.3851351351351,203.1283783783784,651.9594594594595,667.0405405405405,222.40540540540542,426.11486486486484,290.10135135135135
54,178.25850340136054,249.71428571428572,215.0952380952381,611.1836734693877,203.91836734693877,659.734693877551,670.1632653061224,202.24489795918367,425.04761904761904,281.70068027210885
55,187.88666666666666,241.86666666666667,216.05333333333334,589.5933333333334,207.07333333333332,659.56,660.7,197.02666666666667,433.29333333333335,284.6666666666667
56,184.4437086092715,236.31788079470198,212.97350993377484,577.8476821192053,200.66887417218544,655.6490066225166,638.4370860927153,198.3774834437086,430.03973509933775,290.7748344370861
57,193.55555555555554,239.19607843137254,213.52941176470588,554.2222222222222,197.59477124183007,680.2745098039215,648.9607843137255,204.8235294117647,431.01307189542484,286.6143790849673
58,181.79617834394904,234.62420382165604,213.35031847133757,553.1464968152866,195.89171974522293,661.1656050955414,637.5414012738853,208.15923566878982,417.26751592356686,277.343949044586
59,175.69565217391303,238.0310559006211,210.88198757763976,559.3540372670808,196.54658385093168,671.5093167701864,617.0062111801242,211.85714285714286,430.32919254658384,277.6024844720497
60,182.4814814814815,240.02469135802468,212.0,561.3827160493827,199.02469135802468,639.5864197530864,616.6728395061729,211.17283950617283,427.2283950617284,267.87654320987656
61,190.56172839506172,225.91975308641975,216.320987654321,554.895061728395,196.96913580246914,649.5185185185185,633.2716049382716,212.78395061728395,436.91975308641975,279.5432098765432
62,201.33128834355827,230.42944785276075,220.93251533742333,566.3312883435583,194.66871165644173,636.4110429447853,634.0736196319018,216.30674846625766,436.3312883435583,269.3865030674847
63,209.69325153374234,240.88343558282207,220.09815950920245,553.9079754601227,196.0245398773006,613.9754601226994,625.9509202453987,212.72392638036808,438.4355828220859,278.5398773006135
64,207.79012345679013,242.8148148148148,218.23456790123456,543.0370370370371,198.62345679012347,623.3827160493827,658.4753086419753,220.1358024691358,446.7901234567901,279.3395061728395
