Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,117.0555556,175.1111111,604.6666667,889,59.94444444,183.7222222,178.2777778,113.3888889,168.9444444,239.3333333
1,115.5333333,162.7333333,722.7333333,826.5666667,61.86666667,167,166.9,117.2,174.8333333,286.6
2,100.0434783,138.6304348,631.7608696,667.2608696,54.52173913,143.5434783,139.1521739,106.6521739,158.326087,242.1304348
3,106.8727273,147.6909091,681.6909091,654.4181818,58.85454545,152.0727273,144.1454545,119.3454545,172.9818182,256.2363636
4,121.0983607,167.5081967,795.7868852,696.2786885,67.7704918,164.0327869,165.9344262,145.3114754,203.9344262,306.3442623
5,113.5512821,154.025641,756.974359,608.6666667,63,148.5128205,155.1538462,135.4487179,189.8333333,296.9230769
6,114.576087,148.9673913,758.6195652,588.8695652,62,143.8478261,154.7934783,139.3478261,185.2065217,289.6521739
7,117.5742574,157.1584158,799.2574257,613.9108911,64.34653465,147.3861386,161.7029703,158.2277228,190.4455446,292.6930693
8,125.3333333,166.2407407,830.5277778,653.4351852,66.43518519,152.8611111,167.3148148,164.3055556,193.9074074,300.4166667
9,132.475,165.9666667,848.0916667,665.95,66.24166667,153.4416667,170.075,157.1833333,191.475,303.45
10,128.8538462,167.7,866.2769231,692.6923077,66.01538462,153.8615385,169.9538462,151.3769231,189.1,299.9923077
11,128.0212766,166.9716312,874.3475177,723.3617021,65.5248227,154.248227,166.2978723,144.4893617,188.2056738,296.4893617
12,138.0810811,166.6418919,887.7364865,743.1891892,66.38513514,156.8986486,166.5337838,142.0472973,195.0202703,302.1689189
13,148.6392405,165.4367089,868.4050633,707.4620253,65.87341772,155.9556962,163.1392405,137.2468354,195.8924051,300.0696203
14,163.6886228,167.2335329,833.257485,667.4011976,65.60479042,156.4251497,160.1257485,133.1856287,195.5329341,301.8502994
15,174.9659091,169.8579545,793.0795455,644.2897727,65.13636364,157.7045455,156.2613636,130.5511364,194.4431818,305.8238636
16,188.6108108,171.7783784,779.1675676,653.372973,65.62162162,161.6648649,156.6216216,131.6108108,196.9621622,309.1675676
17,201.1897436,170.7282051,778.7179487,666.3692308,66.01025641,164.1948718,157.5692308,133.7794872,199.5282051,311.6564103
18,213.3830846,173.9402985,779.6666667,670.3333333,66.74129353,167.278607,161.3233831,135.9402985,205.318408,315.5074627
19,217.3658537,177.2243902,774.0243902,666.8097561,67.31707317,171.0829268,164.5853659,137.5219512,212.7170732,317.6097561
20,221.347619,174.3904762,769.6714286,663.7,67.54285714,176.4666667,164.3285714,138.2619048,219.447619,317.2619048
21,224.3534884,172.1255814,765.7674419,677.8883721,68.04186047,183.2093023,162.8976744,139.572093,226.5162791,320.0093023
22,223.7285068,171.8235294,742.8642534,703.9457014,68.05429864,187.6199095,160.520362,142.9004525,231.8506787,322.5294118
23,225.2227074,173.0087336,715.4716157,723.6200873,67.25764192,189.0349345,159.2838428,151.5938865,235.580786,321.8515284
24,230.8220339,177.7033898,705.5550847,737.7923729,67.08050847,190.6567797,160.5338983,165.7118644,240.4576271,322.0042373
25,239.6793249,184.7974684,727.257384,769.2067511,68.71308017,197.278481,165.4345992,186.4092827,250.2067511,333.2531646
26,239.1626016,188.1138211,722.7398374,759.3577236,68.66666667,197.2682927,165.5081301,191.0365854,250.7113821,334.3455285
27,238.4940239,189.5418327,707.6095618,755.2151394,69.05179283,198.5896414,164.8446215,190.5657371,250.2749004,333.0079681
28,243.1936759,190.6007905,687.5652174,764.2252964,69.58893281,201.5335968,164.1818182,186.5810277,250.8853755,327.7944664
29,250.3882353,192.4980392,667.8862745,773.2196078,69.95686275,205.8078431,164.4470588,183.4078431,251.2980392,320.0470588
30,256.1853282,194.5019305,650.1737452,767.6061776,69.81467181,212.0926641,165.3166023,182.3397683,250.2007722,311.6216216
31,260.4789272,197.256705,633.9463602,751.7164751,69.92720307,217.3295019,167.5938697,184.5862069,250.9386973,304.6130268
32,260.3079848,202.7604563,614.2965779,738.3003802,69.82889734,217.7794677,169.3498099,187.4220532,251.2091255,296.730038
33,250.8962963,204.0962963,586.7555556,736.7888889,68.90740741,214.3740741,167.8851852,187.0962963,246.9037037,286.7925926
34,244.6263736,202.8315018,561.4652015,748.03663,69.18382353,214.2307692,167.9742647,185.8424908,245.3736264,282.4981685
35,240.9891304,201.0942029,538.5326087,752.5217391,69.48188406,217.3297101,166.4891304,182.576087,246.5869565,279.7463768
36,235.4270463,196.7081851,519.5053381,749.8291815,69.70462633,221.4412811,165.1352313,176.8434164,249.7402135,276.2775801
37,235.8409894,192.6466431,502.7597173,751.3710247,69.7844523,225.024735,165.3250883,172.1342756,255.7420495,274.5936396
38,244.4982456,190.3719298,489.8491228,752.5578947,70.03157895,228.1368421,164.7859649,169.2210526,261.4666667,274.0140351
39,251.1551724,188.7275862,480.1896552,745.4827586,70.13103448,230.8758621,163.5310345,166.2275862,264.8,272.0103448
40,249.9010239,187.6484642,479.3617747,748.2150171,70.45733788,234.0170648,164.4641638,166.3686007,271.0887372,272.3686007
41,248.0673401,187.0774411,475.006734,762.4646465,70.54545455,236.6936027,165.6397306,166.986532,279.8855219,272.6329966
42,249.56,191.55,467.2866667,784.77,70.89333333,240.3233333,166.0433333,167.09,289.1833333,273.94
43,253.9900332,197.4551495,464.345515,797.0697674,70.99335548,244,165.4385382,168.3421927,297.358804,275.1461794
44,263.0822368,197.9013158,463.7631579,790.9703947,70.98026316,246.4046053,164.2368421,168.8684211,305.5197368,273.4868421
45,269.1856678,195.247557,463.2442997,783.1824104,71.37785016,249.6416938,163.990228,168.4560261,316.1433225,272.5602606
46,266.5566343,193.1165049,459.7540453,780.7346278,71.58252427,250.8867314,164.0711974,167.2200647,327.6148867,275.0841424
47,260.3054662,191,454.6752412,785.1897106,71.30546624,248.0064309,164.096463,165.2733119,335.9614148,277.7138264
48,259.0961538,195.2019231,455.0128205,801.5608974,71.81410256,245.8525641,166.0160256,164.0576923,346.275641,282.8589744
49,256.8566879,195.0859873,450.7738854,813.6815287,71.77070064,243.2101911,166.544586,161.2579618,355.5414013,287.1624204
50,254.352381,194.552381,442.6730159,824.615873,71.80952381,242.8857143,165.8571429,158.4095238,364.6984127,290.8380952
51,257.6426332,193.8808777,431.5329154,831.3605016,72.05956113,245.3479624,164.6363636,156.7554859,371.6739812,294.4890282
52,260.4330218,195.4423676,421.8068536,845.847352,72.37694704,249.0186916,164.3395639,158.5015576,376.576324,299.0747664
